date	xml_link	pdf_link	file
13-03-2013	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/004ccb33-581e-44b3-8c5c-bbb56bbc99f3/toc_unixml/House%20of%20Representatives_2013_03_13_1674_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/004ccb33-581e-44b3-8c5c-bbb56bbc99f3/toc_pdf/House%20of%20Representatives_2013_03_13_1674_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/004ccb33-581e-44b3-8c5c-bbb56bbc99f3/0000%22	Id%3A%22chamber%2Fhansardr%2F004ccb33-581e-44b3-8c5c-bbb56bbc99f3%2F0000%22.html
02-12-2019	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/00885699-9201-443f-bc10-27fc979dc3d3/toc_unixml/House%20of%20Representatives_2019_12_02_7412_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/00885699-9201-443f-bc10-27fc979dc3d3/toc_pdf/House%20of%20Representatives_2019_12_02_7412_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/00885699-9201-443f-bc10-27fc979dc3d3/0000%22	Id%3A%22chamber%2Fhansardr%2F00885699-9201-443f-bc10-27fc979dc3d3%2F0000%22.html
09-08-2021	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/008878e2-702c-4017-beac-97696e5ca1d0/toc_unixml/House%20of%20Representatives_2021_08_09_9018_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/008878e2-702c-4017-beac-97696e5ca1d0/toc_pdf/House%20of%20Representatives_2021_08_09_9018_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/008878e2-702c-4017-beac-97696e5ca1d0/0000%22	Id%3A%22chamber%2Fhansardr%2F008878e2-702c-4017-beac-97696e5ca1d0%2F0000%22.html
09-08-2021	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/008878e2-702c-4017-beac-97696e5ca1d0/toc_unixml/House%20of%20Representatives_2021_08_09_9018_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/008878e2-702c-4017-beac-97696e5ca1d0/toc_pdf/House%20of%20Representatives_2021_08_09_9018_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/008878e2-702c-4017-beac-97696e5ca1d0/0379%22	Id%3A%22chamber%2Fhansardr%2F008878e2-702c-4017-beac-97696e5ca1d0%2F0379%22.html
16-10-2017	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/021e2c73-19c5-4935-b599-76324f196286/toc_unixml/House%20of%20Representatives_2017_10_16_5601_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/021e2c73-19c5-4935-b599-76324f196286/toc_pdf/House%20of%20Representatives_2017_10_16_5601_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/021e2c73-19c5-4935-b599-76324f196286/0000%22	Id%3A%22chamber%2Fhansardr%2F021e2c73-19c5-4935-b599-76324f196286%2F0000%22.html
22-02-2016	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/02525cdf-c0a5-4a3a-a1f4-9e9219e30bf6/toc_unixml/House%20of%20Representatives_2016_02_22_4096_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/02525cdf-c0a5-4a3a-a1f4-9e9219e30bf6/toc_pdf/House%20of%20Representatives_2016_02_22_4096_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/02525cdf-c0a5-4a3a-a1f4-9e9219e30bf6/0000%22	Id%3A%22chamber%2Fhansardr%2F02525cdf-c0a5-4a3a-a1f4-9e9219e30bf6%2F0000%22.html
04-03-2015	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/02641561-83f9-44d9-905e-7ca9e91f89c8/toc_unixml/House%20of%20Representatives_2015_03_04_3214_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/02641561-83f9-44d9-905e-7ca9e91f89c8/toc_pdf/House%20of%20Representatives_2015_03_04_3214_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/02641561-83f9-44d9-905e-7ca9e91f89c8/0000%22	Id%3A%22chamber%2Fhansardr%2F02641561-83f9-44d9-905e-7ca9e91f89c8%2F0000%22.html
15-02-2021	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/02b5bbb8-03c3-444a-81a7-cac982040a76/toc_unixml/House%20of%20Representatives_2021_02_15_8485_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/02b5bbb8-03c3-444a-81a7-cac982040a76/toc_pdf/House%20of%20Representatives_2021_02_15_8485_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/02b5bbb8-03c3-444a-81a7-cac982040a76/0085%22	Id%3A%22chamber%2Fhansardr%2F02b5bbb8-03c3-444a-81a7-cac982040a76%2F0085%22.html
15-02-2021	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/02b5bbb8-03c3-444a-81a7-cac982040a76/toc_unixml/House%20of%20Representatives_2021_02_15_8485_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/02b5bbb8-03c3-444a-81a7-cac982040a76/toc_pdf/House%20of%20Representatives_2021_02_15_8485_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/02b5bbb8-03c3-444a-81a7-cac982040a76/0606%22	Id%3A%22chamber%2Fhansardr%2F02b5bbb8-03c3-444a-81a7-cac982040a76%2F0606%22.html
25-11-2015	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/02ea44d9-3064-475f-97e4-cc2d68b630b6/toc_unixml/House%20of%20Representatives_2015_11_25_3873_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansardr/02ea44d9-3064-475f-97e4-cc2d68b630b6/toc_pdf/House%20of%20Representatives_2015_11_25_3873_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/02ea44d9-3064-475f-97e4-cc2d68b630b6/0000%22	Id%3A%22chamber%2Fhansardr%2F02ea44d9-3064-475f-97e4-cc2d68b630b6%2F0000%22.html
