"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Mr. Speaker (Rt. Hon. W. A. Watt) took the chair at 11 a.m., and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","FREE NODE","N/A","N/A","N/A","N/A","N/A","Security Pact League of Nations Protocol Australias Delegation to League of Nations","EUROPEAN SITUATION","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/para[1]","N/A","N/A"
"1","0","0","0","0","0","0","1","CHARLTON, Matthew","JXA","N/A","N/A","N/A","264","Has the Prime Minister received any communication from the Imperial authorities regarding the proposed Security Pact? If so, will he make the whole of the correspondence available to honorable members? Further more, has the Australian Government been asked to agree to this Pact, and, if so, will he give the House an opportunity to discuss the subject before any decision is arrived at to bind the Commonwealth ?","EUROPEAN SITUATION","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/question[1]/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","BRUCE, Stanley","F4B","N/A","NAT","N/A","264","I understand that the notes exchanged between Germany, Great Britain, and France were published in London last night, and they should be available in Australia today. Therefore I ask the honorable member to postpone his question until a later hour, when probably the information he seeks will be available.","EUROPEAN SITUATION","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/answer[1]/talk.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","FREE NODE","N/A","N/A","N/A","N/A","N/A","Later","EUROPEAN SITUATION","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/para[2]","N/A","N/A"
"1","0","0","0","0","0","0","1","COLEMAN, Percy","JZK","N/A","N/A","N/A","264","I should like to know if the Government has decided that Australia shall be represented at the Sixth Assembly of the League of Nations, which meets at Geneva in September next, and, if so, by whom? I should also like to know if, in order that our delegates may go to the Assembly with definite instructions from the Australian Parliament, an early opportunity will be given the House to discuss the League of Nations Protocol and the suggested alternative in the form of a Security Tact which has been submitted by the British Government?","EUROPEAN SITUATION","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/question[2]/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","BRUCE, Stanley","F4B","N/A","NAT","N/A","264","Australia will again bo represented at the Assembly of League of Nations in September next, and in the near future I hope to be in the position to announce the personnel of the delegation. When the report of the delegates to the last meeting of the Assembly is submitted to the House at an early date, honorable members will have an opportunity to discuss the matter to which the honorable member has referred.","EUROPEAN SITUATION","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/answer[2]/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","FENTON, James Edward","KEV","N/A","N/A","N/A","264","I should like to know if the money for the construction of main roads set aside during the financial year for the states, but not made use of by some of them and not fully used by others, will, at the end of the year revert to the Commonwealth Treasury or whether it will be added to the amount which this Parliament will be asked to grant to the states during the present session? I should also like to know if the Prime Minister has considered the wisdom of anticipating the decision of Parliament and making money available at a very early date in order that the states may set on foot various works for the purpose of giving work to the unemployed ?","COMMONWEALTH ROAD GRANT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[1]/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","BRUCE, Stanley","F4B","N/A","NAT","N/A","264","The money set aside last session for the states will remain available to them, and will not revert to the Commonwealth at the end of the financial year. The Government has intimated to the states that if any road construction commenced under the original grant is now being held up through want of funds it is prepared to make available monthly sums on the basis of the vote which was authorized by this Parliament last year.","COMMONWEALTH ROAD GRANT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","OKEEFE, David","JZ9","N/A","N/A","N/A","264","In considering the granting of further assistance to the states for road construction, will the Government make every effort to alter the conditions surrounding the grant and thus make it easier for the states to take advantage of the assistance afforded, which they are now unable to do because of those conditions ?","COMMONWEALTH ROAD GRANT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[2]/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","BRUCE, Stanley","F4B","N/A","N/A","N/A","264","The whole of the conditions upon which this money is made available to the states are now under the consideration of the Government in connexion with a proposed further grant.","COMMONWEALTH ROAD GRANT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[2]/continue/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","MAHONY, William","KLG","N/A","N/A","N/A","264","I have received the following telegram from the secretary to the Iron Workers Assistants Union, Sydney :","COCKATOO ISLAND DOCKYARD","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/question/talk.start/para","N/A","N/A"
"0","0","0","0","0","1","0","1","MAHONY, William","KLG","N/A","N/A","N/A","264","Another 30 men dismissed from Cockatoo Dockyard through slackness of work.","COCKATOO ISLAND DOCKYARD","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/question/quote/para","N/A","N/A"
