"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","stage_direction_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A"," (Rt Hon. Sir Billy Snedden) took the chair at 2. 1 5 p.m., and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A"
"0","0","0","1","0","0","0","1","0","2","CLERK, The","10000","N/A","N/A","N/A","423","Petitions have been lodged for presentation as follows and copies will be referred to the appropriate Ministers:  ","N/A","PETITIONS","/hansard/chamber.xscript/debate[1]/speech/talk.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","To the Honourable, the Speaker and Members of the House of Representatives in Parliament assembled. The petition of the undersigned citizens of Australia respectfully showeth:","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","That the provision of payments for abortion through items of the Medical Benefits Schedule is an unacceptable endorsement of abortion which has now reached the levels of a national tragedy with at least 60,000 unborn babies being killed in 1977.","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/para[2]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Your petitioners therefore humbly pray that the Government will so amend the Medical Benefits Schedule as to preclude the payment of any benefit for abortion.","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/para[3]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","And your petitioners as in duty bound will ever pray. by Mr Anthony, Mr Bourchier, Mr Cadman, Mr Dobie, Mr Gillard, Mr Hunt, Mr Charles Jones, Mr Lusher, Mr MacKellar, Mr Martin and Mr Sainsbury.","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/para[4]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Petitions received.","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/para[5]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","To the Honourable Speaker and Members of the House of Representatives in Parliament assembled. The petition of the undersigned citizens of Australia respectfully showeth:","Pensions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","That restoration of provisions of the Social Security Act that applied prior to the 197879 Budget is of vital concern to offset the rising cost of goods and services.","Pensions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/para[2]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","The reason advanced by the Government for yearly payments that the lower level of inflation made twiceyearly payments inappropriate  is not valid.","Pensions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/para[3]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Great injury will be caused to 920,000 aged, invalid, widows and supporting parents, who rely solely on the pension or whose income, other than the pension, is $6 or less per week. Onceayear payments strike a cruel blow to their expectation and make a mockery of a solemn election pledge.","Pensions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/para[4]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Accordingly, your petitioners call upon their legislators to:","Pensions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/para[5]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1. Restore twiceyearly pension payments in the Autumn session.","Pensions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/list/item[1]/para","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.Raise pensions and unemployed benefits above the poverty level to 30 per cent of A.W.E.","Pensions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/list/item[2]/para","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","And your petitioners as in duty bound will ever pray. by Sir William McMahon, Mr Lionel Bowen, Mr N. A. Brown, Dr Jenkins, Mr MacKenzie, Mr Morris, Mr Ian Robinson, Mr Scholes and Mr West.","Pensions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/para[6]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Petitions received.","Pensions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/para[7]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","To the Honourable Speaker and Members of the House of Representatives in Parliament assembled:","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","The undersigned citizens of Australia humbly pray that you reject the motion to be moved by Stephen Lusher MHR which proposes:","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[2]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*to remove items from the standard medical benefits table which currently permit medical benefits for abortion and","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[3]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*to cease the funding of medical benefits schemes through which claims for termination of pregnancies can be made.","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[4]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Your petitioners humbly pray that you support:","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[5]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*a woman s right to choose","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[6]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*abortion as a claimable item under all health benefits schemes.","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[7]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","And your petitioners as in duty bound will ever pray. by Dr Cass, Mr Hunt, Mr Street and Mr Uren.","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[8]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Petitions received.","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[9]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Royal Commission on Human Relationships","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[10]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","To the Honourable Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of the undersigned citizens of Australia respectfully showeth:","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[11]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","That because the Report of the Royal Commission on Human Relationships and its Recommendations","Medical Benefits: Abortions","PETITIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/para[12]","N/A","N/A"
