"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","stage_direction_flag","speaker_no","nonspeech","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","0","1","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/html/body/hansard/chamber.xscript/business.start/proctext/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/html/body/hansard/chamber.xscript/business.start/proctext/para[2]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/html/body/hansard/chamber.xscript/business.start/proctext/para[3]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Madam SPEAKER (Hon. Joan Child) took the chair at 2 p.m., and read prayers.","N/A","N/A","/html/body/hansard/chamber.xscript/business.start/proctext/para[4]","N/A","N/A"
"0","0","0","1","0","0","0","1","0","2","0","Mr HAWKE","YD4","(Wills-","ALP","Prime Minister)","883","—I move:  That this House expresses its deep regret at the death on 13 March 1987 of the Hon. Hugh Stevenson Roberton, a former member of this House for the Division of Riverina from 1949 to 1965, a former Minister of the Crown, and a former Ambassador to Ireland, places on record its appreciation of his long and meritorious public service and tenders its profound sympathy to his family in its bereavement. A foundation member of the Country Party of Australia, Hugh Stevenson Roberton was elected in 1949 to the House of Representatives, holding the New South Wales seat of Riverina. He held that seat during his 16 years of continuous and distinguished service to the Parliament. He was a member of the Joint Parliamentary Committee on Foreign Affairs from 1952 to 1955, and was a member of the delegation representing the Commonwealth Parliament at the first meeting of the Legislative Council for the Northern Territory in its new council chamber on 25 March 1955. Hugh Roberton held the portfolio of Minister for Social Services from February 1956 to January 1965, when he resigned from the Parliament to take up an appointment as Ambassador to Ireland, a position he held until 1968. Before entering Parliament, Hugh Roberton was a farmer and grazier. He wrote on political, economic and general subjects under his own name and also the nom de plume of Peter Snodgrass. He was the author of the Roberton Wheat Stabilisation Scheme and Now Blame the Farmer. He was also the General President of the Australian Farmers and Settlers Association of New South Wales and the Australian Wheatgrowers Federation. During World War II he served with the 3rd Anti-Tank Regiment, 9th Australian Division in the Middle East and was discharged in Australia in December 1944. Hugh Stevenson Roberton was a long-standing and well respected member of the House of Representatives who made significant contributions to his Party, the Parliament and his country. On behalf of the Government I extend to his wife, Eileen, and his daughter, Janet, our sincere sympathy in their bereavement.","N/A","DEATH OF THE HON. HUGH STEVENSON ROBERTON","/html/body/hansard/chamber.xscript/debate[1]/speech[1]/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","0","1","0","4","0","Mr HOWARD","ZD4","(Bennelong-","LP","Leader of the Opposition)","883","—I would like to join the Prime Minister (Mr Hawke) in expressing condolences to the family of the later Hugh Roberton and to associate the Opposition and the Liberal Party of Australia with the words that the Prime Minister has used in praise of Hugh Roberton's contribution to public life in Australia. I had the opportunity of meeting him on a number of occasions during his visits to Parliament House, particularly in association with the retirement of a number of members of his own Party. He was a very lively personality. He had a very pleasant sense of humour and he had a remarkable store of political anecdotes. He had a very long career as a member of the former Country Party. He capped that career with ministerial and Cabinet office.  Hugh Roberton was, as the Prime Minister observed, the first Australian ambassador appointed to Ireland. Perhaps it was a mark not only of the importance attached to that relationship that that ambassadorship was created then but also of some sense of humour in which both the late Prime Minister, Sir Robert Menzies, and the late Hugh Roberton rejoiced; that a person born in Glasgow, Scotland, should be appointed Australia's first Ambassador to Ireland. But he was a person who was very warmly, widely and well regarded on all sides of the House. He made a very distinctive contribution to primary industry organisations before he entered Parliament. His capacity as a writer subsequent to leaving Parliament and the contribution he made in that field was to be expected from a very gifted gentleman, a person well loved within his own Party and very widely respected on both sides of the House. On behalf of the Opposition and on behalf of the Liberal Party of Australia, I extend my very profound condolence and sympathy to his family.","N/A","DEATH OF THE HON. HUGH STEVENSON ROBERTON","/html/body/hansard/chamber.xscript/debate[1]/speech[2]/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","0","1","0","6","0","Mr SINCLAIR","5E4","(New England-","NP","Leader of the National Party of Australia)","883","—I rise to support the motion moved by the Prime Minister (Mr Hawke) and supported by the Leader of the Opposition (Mr Howard). Hugh Roberton was one of those greats of the bush-a humble man, a man whose interest in the wider community, particularly in things agricultural, extended throughout his life. He was one who served his community well before he entered this place. Indeed, he was a Coolamon Shire councillor. He was a foundation member of the New South Wales Country Party and a member of the central council of that Party. He was a member of the Executive of the Farmers and Settlers Association of New South Wales and its General President for four years from 1945 to 1949. He was President of the Australian Wheatgrowers Federation and Chairman of the Wheat Industry Defence Council. He was also a member of the Council of Primary Producers Association of Australia.  Hugh Roberton brought to this place a fund not only of Scottish stories but also of good humour. He was one who certainly left his mark both here and, as a diplomat, overseas. In referring to some of the extracts in my records, I was interested to read what was said at the time he was appointed as Australia's first Ambassador to Ireland. The former Governor-General, Sir Paul Hasluck, commented as Minister for External Affairs that for many years Hugh Roberton had had a keen personal interest in Irish history and in his boyhood he had known personally many of the people who had contributed to the making of modern Ireland. I am not too sure whether at this stage that is something of which he should be proud or not. I think at the same time one can look at Eire and recognise the enormous achievements that have been made on that side of the border. One hopes that in due course there might be success in Northern Ireland too. Hugh Roberton was born in Glasgow, Scotland, in 1900. He was the son of the late Sir Hugh Roberton, the Scottish composer, who founded the famous Glasgow Orpheus Choir. Many members of this House and members of the public will recall that this choir, which is one of the great choirs of the world, was recently in Australia. Hugh Roberton's father conducted that choir until his death. Hugh Roberton was educated at the West of Scotland Agricultural College and Glasgow University. He came to Australia in the early 1920s. He was a jackeroo in the Riverina and finally bought a property of his own near Old Junee. During World War II he served in the Middle East as a gunner with the 3rd Australian Tank Attack Regiment of the 9th Division. He entered Federal Parliament in 1949 as the honourable member for Riverina. Hugh Roberton above all during his political life had a continuing interest in wheat stabilisation. I was interested in turning back to the Hansard of 22 February 1950 to read in his maiden speech of his concerns there expressed about the plight of Australian wheatgrowers. How sad it is that now in 1987, 37 years later, exactly the same concerns apply and so many of those who produce wheat are suffering and are finding it extraordinarily difficult to find their way out of their present economic plight. Hugh Roberton in every way was a great Australian. But in this message I would like to pay particular compliments to his wife Eileen. Many of us saw Hugh around this House during his latter years. There is little doubt that with his failing eyesight he was extraordinarily dependent upon Eileen. He certainly owed a great deal to her and she certainly is very much in our prayers at this time. He also had a very distinguished career as a journalist writing under the name of Peter Snodgrass. From 1930 almost until his death he was either a regular or an occasional correspondent for the Land newspaper. To his daughter Janet and his wife Eileen, on behalf of all members of the National Party I place on record our particular care for, affection for and memories of a great Australian. One thing my colleagues may be interested in is that, even on his deathbed, Hugh Roberton was urging the National Party to stay in coalition. It is a message that I will pass on to the House at this time.","N/A","DEATH OF THE HON. HUGH STEVENSON ROBERTON","/html/body/hansard/chamber.xscript/debate[1]/speech[3]/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","0","1","0","8","0","Mr HUNT","GH4","(Gwydir)","NP","N/A","884","—I rise to support the motion moved by the Prime Minister (Mr Hawke) expressing condolence to the relatives of the late Hugh Stevenson Roberton. He was very well known to me over a long period of years and was a man for whom I had much personal affection. He was a foundation member of the old Country Party and played a very big part in the development of that Party and in giving the Party the real purpose it had during all those years of difficulty in the rural sector. He was a great Australian of Scottish descent and he had a tremendous impact on this Parliament, the Riverina region of New South Wales and country Australia. He will always be remembered because of his warmth and genial personality. Among his gifts was his ability to write with a rare fluency. For many years he wrote, under the nom de plume Peter Snodgrass, about political, economic and general subjects for the Land newspaper.  As a farmer and grazier he had a very close affinity with the land, the farmers and their difficulties. He will be particularly remembered for the efforts he made to modernise wheat marketing to try to improve the profitability of wheat marketing and handling for wheat producers in the 1920s and 1930s. He was the author of the Roberton wheat stabilisation scheme, which was the forerunner of the Australian Wheat Board's operations in this country. The Labor Government of the day picked up the idea and ran with it, and for that it should receive some credit. He was an executive of the Farmers and Settlers Association of New South Wales, serving as General President for four years from 1945 to 1949. As President of the Australian Wheat Growers Federation and Chairman of the Wheat Industry Defence Council he gave monumental service to not only the wheat industry but also Australia. He showed a tremendous compassion, balanced with a recognition of the need for stable government in this country. He was a great Country Party figure, loyal right to the end to the purposes, aims and objectives of the present day National Party. His passing is a very sad blow to those of us who had the privilege and pleasure of working with him for so long over a great period of years. I join with the Prime Minister, the Leader of the Opposition (Mr Howard), and my Leader, the right honourable member for New England (Mr Sinclair), in extending my sympathy and my wife's sympathy to his wife Eileen and his daughter Janet.","N/A","DEATH OF THE HON. HUGH STEVENSON ROBERTON","/html/body/hansard/chamber.xscript/debate[1]/speech[4]/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","0","1","0","10","0","Mr HICKS","AH4","(Riverina-Darling)","NP","N/A","885","—I join the Prime Minister (Mr Hawke), the Leader of the Opposition (Mr Howard), the Leader of the National Party of Australia (Mr Sinclair) and other speakers in offering my condolences and those of the people of the Riverina region to the wife of Hugh Roberton and his daughter. Much has been said about Hugh Roberton and I second all of it. I did not know Hugh Roberton all that well, but I remember going to see him after I was first elected to represent the seat of Riverina. He was already an elderly gentleman, but when one shook his hand one knew that he was still a strong man.","N/A","DEATH OF THE HON. HUGH STEVENSON ROBERTON","/html/body/hansard/chamber.xscript/debate[1]/speech[5]/talk.start[1]/para","N/A","N/A"
"0","0","1","0","0","0","0","1","0","12","0","Mr Ian Cameron","BF4","N/A","N/A","N/A","N/A","—The salt of the earth.","N/A","DEATH OF THE HON. HUGH STEVENSON ROBERTON","/html/body/hansard/chamber.xscript/debate[1]/speech[5]/interject/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","0","1","0","14","0","Mr HICKS","AH4","(Riverina-Darling)","NP","N/A","885","—As the honourable member for Maranoa says, he was the salt of the earth. The people of the Riverina area, who knew him well, will miss him sadly. I am sure that all honourable members who knew him and all Australians regard him as a great Australian. Once again, I offer my condolences on behalf of the people of the Riverina.","N/A","DEATH OF THE HON. HUGH STEVENSON ROBERTON","/html/body/hansard/chamber.xscript/debate[1]/speech[5]/talk.start[2]/para","N/A","N/A"
"0","0","0","1","0","0","0","1","0","16","0","Mr FIFE","CG4","(Hume)","LP","N/A","885","—I wish to associate myself with this condolence motion, which has been moved by the Prime Minister (Mr Hawke) and seconded by the Leader of the Opposition (Mr Howard). I had the privilege of knowing Hugh Roberton for the whole period that I have been in public life. I first met him in 1953 during the State election campaign in New South Wales when we both attended a meeting of the Farmers and Settlers Association, which was the forerunner of the current New South Wales Farmers Association. We were both members of that organisation. I remember that meeting very vividly because I was fighting a campaign that I knew I could not win. The encouragement-and, might I add, the advice-given to me on that occasion by Hugh Roberton has remained with me for all the intervening years.  As well as being personally associated with the condolence motion, and associating my wife and family who also knew Hugh Roberton, I wish to associate the residents of the electorate of Hume, and in particular the citizens of the city of Wagga Wagga, because although Hugh Roberton represented the Riverina division he was well known throughout the length and breadth of southern New South Wales. Indeed, he was a friend to everyone who knew him. He was the kind of parliamentarian who, once an election was over, did not try to assess how his constituents voted. He treated all men and women, regardless of their place in life, occupation, faith or politics, in the same way. On behalf of those people whom I represent in this Parliament I extend to his wife, Eileen, and his daughter, Janet, our deepest sympathy. I would like to add that Hugh Roberton was uncompromising when he defended our democratic system. Those who knew him would often find it difficult to understand precisely what he was saying when he was defending the democratic system. Being a Scot, he did not lose his accent throughout the whole of his life. He became very emotional when he was talking about the democratic system. He was forthright in debate but he was also very gentle when he approached other people. He was a man of honour. Truthfulness and service to his fellow man were his guiding principles. Those who read the articles under the pen name of Peter Snodgrass would also remember the name of Bill Smith, his driver. Perhaps many people thought that that also was a pen name. Members of this House will be interested to know that Bill Smith was his ministerial driver and is a senior driver today in the car pool in Sydney. He wishes also to extend to Mrs Roberton and Mr Roberton's daughter his deepest sympathy. Question resolved in the affirmative, honourable members standing in their places.","N/A","DEATH OF THE HON. HUGH STEVENSON ROBERTON","/html/body/hansard/chamber.xscript/debate[1]/speech[6]/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","0","1","0","18","0","Mr HAWKE","YD4","(Wills-","ALP","Prime Minister)","885","—I inform the House that the Minister for Science (Mr Barry Jones) has been appointed Minister Assisting the Treasurer on Prices and Minister Assisting the Attorney-General on Consumer Affairs. As a courtesy, I also inform the House that the Minister for Primary Industry (Mr Kerin) will be absent from Question Time today on official duty. The Minister for Trade (Mr Dawkins) will respond to any questions relating to primary industry. The Minister for Sport, Recreation and Tourism (Mr John Brown) is unable to attend Question Time as he is unwell. The Minister for Transport and Minister for Aviation (Mr Peter Morris) will respond to any questions relating to the sport, recreation and tourism portfolio. The Minister for Education (Senator Ryan) returns to Australia tomorrow from the United States of America. The Minister for Science is the Acting Minister for Education.","N/A","MINISTERIAL ARRANGEMENTS","/html/body/hansard/chamber.xscript/debate[2]/speech/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","20","0","Mr PORTER","NI4","BARKER","LP","N/A","886","—My question is addressed to the Prime Minister. I refer him to the statement of the Minister for Health of 5 February that the Government would amend its identity card legislation to demonstrate `its willingness to accept any reasonable suggestions' to improve the identity card legislation. In light of submissions made by business and others that the existing legislation is unworkable-and I particularly refer to the submission from the Australian Bankers Association which indicates that unless changes are made to clauses 32 and 40 existing credit cards such as Bankcard, Visa and Mastercard would be unworkable and banks in a substantial number of cases would be forced to refuse transfer of funds, cash withdrawals from automatic teller machines, debit transactions to another bank--","AUSTRALIA CARD","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[1]/question/talk.start[1]/para","N/A","N/A"
"0","0","1","0","0","0","0","1","0","22","0","Madam SPEAKER","10000","N/A","N/A","N/A","N/A","—Would the honourable member get to the question.","AUSTRALIA CARD","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[1]/question/interject/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","24","0","Mr PORTER","NI4","BARKER","LP","N/A","886","—And direct entry transactions such as the payment of pensions-why is the Government reneging on its commitment to amend?","AUSTRALIA CARD","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[1]/question/talk.start[2]/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","26","0","Mr HAWKE","YD4","WILLS","ALP","N/A","886","—The position is quite simple. The Government is serious about getting as much done in the budgetary processes, both for the May statement and beyond that, to reduce the deficit as far as possible. We need to be in a position to know what our commitments are. A very considerable amount is written into the Estimates in regard to the initial costs of setting up the Australia Card. We are not prepared to take the risk of an undue delay in the consideration of an amended piece of legislation and leave ourselves with a lack of knowledge as to what our commitments may be. Therefore, we will be introducing the legislation in its un- amended form.  The Minister for Health had discussions, going back to May 1986, with the Australian Bankers Association. We are not prepared to accept that everything that has been put to us, either from that quarter or elsewhere, is necessarily correct. As far as the Opposition is concerned, let me say just two things. Firstly, I can understand the unease that there is on this matter concerning the proposed course that the Government will take; secondly, I take this opportunity to make it clear that this Government is committed to proceed with the Australia Card concept because, as distinct from the Opposition, we are committed to do everything we can to stamp out tax avoidance and to stop social welfare fraud, and we will not be diverted from that course of action.","AUSTRALIA CARD","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[1]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","28","0","Mr SIMMONS","FJ4","CALARE","ALP","N/A","886","—Has the attention of the Minister for Health been drawn to claims made at the weekend that the Government has a so-called `sinister secret strategy' to extend the uses of the Australia Card after its introduction? Is it a fact that the Government has such a policy?","AUSTRALIA CARD","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[2]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","30","0","Dr BLEWETT","VE4","BONYTHON","ALP","N/A","886","—The Government has, of course, no such policy. The remarks are simply the result of the fevered and rather desperate imagination of honourable members opposite, because they in fact have no alternative whatsoever to the Australia Card. Indeed, of course, the Government's position has been clear to the rest of the Australian people, if not to the Opposition, for the last five months.  The Bill, which will come before the House, the Parliament and the Australian people, makes it quite clear that only in three areas will the Australia Card be applicable; that is, in relation to social security, tax and Medicare. Indeed, when these fantasies are produced by the Opposition we should remember that those three areas were the areas defined by the Joint Select Committee on an Australia Card. It recommended the range which the Bill should cover and we accepted those views as we accepted most of the ideas from the Select Committee. The only question that the Parliament and the people of Australia have to ask is: Why do we get these nonsensical views paraded by the Opposition? The answer to that is the Opposition has simply no policy in relation to welfare fraud, no policy in relation to tax evasion and no policy in relation to illegal immigration. My colleague the Minister for Social Security has taken a number of important steps to deal with fraud in the welfare area-more than were ever tackled by the Fraser Government-yet each of those steps would be facilitated by an effective identity system in this country. Each of those steps would have had more effect, and would be more effective, if we had a proper identification system in this country. My colleague the Treasurer has taken major steps through the Australian Taxation Office-more than were ever taken by the Fraser Government-to deal with the problems of tax evasion and tax fraud. Again, each of the steps that the Treasurer has taken would be more effective and would be facilitated by an effective identity system in this country. It is the single most potent weapon one could have for dealing with these problems that face government. The Opposition has no answer to any of those problems.","AUSTRALIA CARD","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[2]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","32","0","Mr HOWARD","ZD4","BENNELONG","LP","N/A","887","—I refer the Prime Minister to last Friday's report by the Indicative Planning Council in which the expected level of housing activity in this financial year was again revised down. Does the Prime Minister acknowledge that the main reason for this revision is that the Council has now assumed that home loan interest rates will not fall from their current record levels in 1987? Is it a fact that this assessment by the Council is totally consistent with the confidential briefing document prepared by Dr Hawkins and tabled in the Senate by Senator Ryan last month? Would the Prime Minister describe the Indicative Planning Council as `a non-relevant economic forecasting section of government which does not have access to joint economic forecasting group forecasts and is not close to the management of the economy'-the words used by him in relation to Dr Hawkins? Does the Prime Minister now concede that home loan interest rates have no hope of falling in 1987 under the existing policies of his Government?","HOUSING INDUSTRY","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[3]/question/talk.start/para","N/A","N/A"
