"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","stage_direction_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","0","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","Mr. Speaker (Rt. Hon. W. A. Watt) took the chair at 11 a.m., and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","1","2","N/A","N/A","N/A","N/A","N/A","N/A","Presentation of Address-in-reply.","N/A","GOVERNOR-GENERAL'S SPEECH","/hansard/chamber.xscript/debate[1]/para","N/A","N/A"
"0","0","0","1","0","0","0","1","0","3","BRUCE, Stanley","F4B","Flinders","NAT","Minister for External Affairs","298","- I have to inform the House that the Address-in-Reply will be presented to His Excellency the Governor-General, at Government House, at 8 o'clock this afternoon.'","N/A","GOVERNOR-GENERAL'S SPEECH","/hansard/chamber.xscript/debate[1]/speech/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","4","LISTER, John","L1J","N/A","N/A","N/A","294","- It is reported in this morning's news-papers that certain buildings in Geelong, including one in which is (Loused one of the most important Post Offices in that city, are to be demolished ro make way for new structures. Will the Postmaster-General look into the matter, and ascertain whether it is not possible to secure for Post Office purposes a suitable building in a central position to meet the requirements of the commercial interests of the city?","DEMOLITION OF POST OFFICE BUILDING AT GEELONG","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","5","GIBSON, William","KAY","N/A","CP","N/A","294","- I will look into the matter, and will advise the honorable member as to what the exact position is.","DEMOLITION OF POST OFFICE BUILDING AT GEELONG","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/answer/talk.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","1","6","N/A","N/A","N/A","N/A","N/A","N/A","Furlough Pay","EMPLOYEES IN DEFENCE FACTORIES","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","7","SCULLIN, James Henry","F4Q","N/A","N/A","N/A","294","- In the absence of the Minister .for Defence, will 'the Prime Minister state whether a decision has yet been arrived at regarding the furlough pay of employees in Defence Factories who have been, or are to be, discharged because of the determination of the Government not to compete with private enterprise?","EMPLOYEES IN DEFENCE FACTORIES","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","8","BRUCE, Stanley","F4B","N/A","NAT","N/A","294","- No decision has yet been arrived at, but the matter is under the consideration of the Cabinet.","EMPLOYEES IN DEFENCE FACTORIES","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","9","WEST, John Edward","KZA","N/A","N/A","N/A","294","- I desire to bring under the notice of the Minister representing the Minister for ' Home and Territories a matter of grave importance to a number of persons in Sydney. It has reference to the resumption of land in and around the city in connexion with proposed additional Post Office 'buildings. Those who held leases of . buildings on these lands have been compensated by the Government; but others in the city as well as at Darlinghurst, including widows who for twenty-nine years have been occupying business premises under a verbal agreement 'Chat they would not be required to quit, and that their rent would not be raised, have received a month's notice to vacate them. In the ease of widows-","LAND RESUMPTION FOR POSTAL PURPOSES IN SYDNEY","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","10","WATT, William","10000","N/A","N/A","N/A","294","- The honorable member is not in order in making a speech under cover of a question to a Minister. If he will put his question in proper form, no doubt it will . be answered.","LAND RESUMPTION FOR POSTAL PURPOSES IN SYDNEY","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/answer[1]/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","11","WEST, John Edward","KZA","N/A","N/A","N/A","294","- Will the Minister see what can be done for .the tenants of these premises?","LAND RESUMPTION FOR POSTAL PURPOSES IN SYDNEY","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/answer[1]/continue/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","12","ATKINSON, Llewelyn","JMG","N/A","CP","N/A","294","- I shall obtain from Hansard a copy of the honorable member's question, and will forward it to the' Minister for Home and Territories, with a request that a reply be furnished.","LAND RESUMPTION FOR POSTAL PURPOSES IN SYDNEY","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/answer[2]/talk.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","1","13","N/A","N/A","N/A","N/A","N/A","N/A","Sub-Chairmen of Boards","INDUSTRIAL PEACE ACT","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[4]/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","14","LAZZARINI, Hubert","L07","N/A","N/A","N/A","294","- Has the Prime Minister taken into consideration the repeated requests made from different mining districts for the appointment of sub-chairmen of Boards under the Industrial Peace Act, so that the many disputes occurring in these districts, which are piling' up, may be dealt with without delay?","INDUSTRIAL PEACE ACT","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[4]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","15","BRUCE, Stanley","F4B","N/A","NAT","N/A","294","- I have not yet looked into that matter, but will do so.","INDUSTRIAL PEACE ACT","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[4]/answer/talk.start/para","N/A","N/A"
