"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","non_speech_flag","speaker_no","nonspeech","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time","Other"
"0","0","0","0","0","0","0","1","1","1","0","N/A","N/A","N/A","N/A","N/A","N/A","Madam SPEAKER (Hon. Joan Child) took the chair at 2 p.m., and read prayers.","N/A","N/A","/html/body/hansard/chamber.xscript/business.start/proctext/para[4]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","2","0","Mr BLUNT","WE4","N/A","N/A","N/A","N/A","I ask the Minister for Social Security: Why is it that under the Minister's administration poverty and homelessness have continued to increase as reported by the Socialist Left honourable member for Melbourne, who is also the State President of the Victorian branch of the Australian Labor Party? Does this represent a failure on the part of the Minister's policies?","POVERTY AND HOMELESSNESS","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[1]/question/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","3","0","Mr HOWE","EH4","N/A","N/A","N/A","N/A","I thank the honourable member for his question because it gives me a very clear opportunity to state some facts with respect to the nature of poverty in the 1980s as opposed to poverty perhaps a decade ago. I think any serious student of poverty over the last 10 years-frankly, the Opposition rarely looks in any depth at all at questions; day in and day out it comes into the House with questions that are drawn from tabloids, the latest headline and the latest angle-would have noticed that we have had a major shift of those people who are most clearly in poverty as opposed to the situation in the early 1970s. In the 1970s more than 50 per cent of the poor were the aged. Since the early 1980s poverty is much more likely to be associated with younger people and this is very often as a result of unemployment although this Government has been remarkably successful in reducing the level of unemployment.","POVERTY AND HOMELESSNESS","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[1]/answer/talk.start/para","N/A","N/A","N/A"
"0","1","0","0","0","0","0","1","0","4","0","N/A","N/A","N/A","N/A","N/A","N/A","Firstly, in terms of poverty and measures of poverty there is no doubt that the single unemployed have suffered very badly over the last decade. Secondly, and perhaps most importantly, poverty is associated with pensioner and beneficiary families, often single parent families, with a number of dependent children. Thirdly, there is an association between poverty and housing costs, particularly in private rental housing markets. Interestingly enough, if one looks at the record of the Fraser Government and if one looks at the record of this Opposition when it was in government and one asks `Where were the severest cuts carried out by the Fraser Government and which were the groups it targeted to withdraw support and assistance from?' one would find that those were the three groups. It looked at withdrawing assistance from the unemployed; it was concerned about withdrawing assistance from pensioner and beneficiary families with children; and it was concerned about withdrawing assistance from pensioners and beneficiaries who were in private rental accommodation. The facts are remarkably clear at that point. During the Fraser years additional pensions for children declined 34.7 per cent. The mother's-guardian's allowance declined 34.7 per cent. Rent allowance declined; the single unemployment benefit declined 18.6 per cent; and the junior unemployment benefit declined 45 per cent.  Against that, and given the nature of poverty in the 1980s, let us have a look at our priorities and what we have been doing in successive Budgets: Additional pensionor benefit for children-up 60 per cent, from $10 to $16; the mother's/guardian's allowance, up 100 per cent; the single unemployment benefit, up 42 per cent. That is why, whatever people in the welfare sector have said about the absolute numbers and in terms of the scale of funds that we may have provided by way of social security and community services, there has been absolute consensus across the board in the welfare sector with respect to our priorities. Last year's Budget, which contained some relatively modest increases, nevertheless was broadly welcomed right across Australia. The thing about this Government, unlike the Opposition, is that we are thoughtful about policy and we are determined to establish priorities. That is why the Prime Minister wrote to a number of Ministers last year who were involved in the area of welfare expenditure and said to those Ministers: `It is important that we get early within the Budget process some clear understanding of your priorities'. That is what has been provided so that within the context of this year's Budget we can continue to implement the kind of social reform that has been so broadly welcomed within the welfare community. I think it is about time the Opposition began to give a little more thought to these kinds of questions, rather than to come into the House constantly seeking to point-score around the periphery, around elements that do not go to the heart of social policy in this country. That is what this Government has been addressing. It has been addressing some of the central issues, which, after all, are to do with the distribution of income in this society. We have nothing to apologise for in terms of what we have done in social security. We have certainly had to make tough decisions, but we have been prepared to live with those tough decisions so that there can be some real distribution, and so that there can be additional assistance to people who have been thrown into poverty by the macro-economic policy pursued by the honourable member for Bennelong when he was Treasurer, when he brought this country into the deepest recession since the 1930s, and also in terms of the Opposition's inability to come to terms with the nitty gritty of policy. I believe that within the broader community there is complete sympathy with the difficulties the Government has faced in terms of the economic circumstances we have inherited, and very wide support for the social policies we have pursued. ","POVERTY AND HOMELESSNESS","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[1]/answer/para[1]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","5","0","Mr CHARLES","GF4","N/A","N/A","N/A","N/A","I address my question to the Minister for Foreign Affairs. Is the Minister aware of reports that the Government of the Republic of Korea has cracked down on the Opposition in that country? What action, if any, is the opposition party in Korea, and others, taking in an attempt to improve the present situation? Has the Australian Government expressed to the Korean Government its concern about the human rights situation in that country?","SOUTH KOREA: HUMAN RIGHTS","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[2]/question/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","6","0","Mr HAYDEN","RK4","N/A","N/A","N/A","N/A","Last week the opposition New Korea Democratic Party announced that it would start its signature campaign, the aim of which is to collect 10 million signatures to amend the Constitution to provide for a directly elected president. The campaign is led by the prominent dissidents Kim Dae Jung and Kim Young Sam. The electoral college is heavily gerrymandered to the disadvantage of the Opposition. Full details of the developments are not clear, but it appears that the officials of the CPD-that is, the Committee for the Promotion of Democracy-and of the NKDP-the New Korea Democratic Party-have been prevented by the police from entering their offices. The police have searched NKDP and CPD headquarters, confiscating signature sheets. The police are now threatening action against individuals who have signed the petition. Kim Dae Jung has been placed under house arrest, his phone cut off and entry and exit to his house blocked to prevent his engaging in further activities supporting the campaign. On Monday the Australian Government instructed its Embassy in Seoul to make representations to the ROK Government expressing its concern over these developments. We are concerned at the apparent breakdown of the processes of political liberalisation which we and the ROK friends had welcomed a year ago.","SOUTH KOREA: HUMAN RIGHTS","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[2]/answer/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","7","0","Mr PORTER","NI4","N/A","N/A","N/A","N/A","My question is directed to the Prime Minister. In light of the failure of the Minister for Health at yesterday's Question Time to rule out an increase in the Medicare levy, I ask the Prime Minister: Will he reaffirm the undertaking given prior to the last election that `for the term of our next government, the Medicare levy will not be increased'?","MEDICARE","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[3]/question/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","8","0","Mr HAWKE","YD4","N/A","N/A","N/A","N/A","I confirm that the Government has no plans to change the Medicare arrangements.","MEDICARE","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[3]/answer/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","9","0","Mr MAHER","GP4","N/A","N/A","N/A","N/A","My question is directed to the Prime Minister. Have recent economic announcements highlighted the continuing success of Government policies, particularly the increase in employment opportunities?","ECONOMY","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[4]/question/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","10","0","Mr HAWKE","YD4","N/A","N/A","N/A","N/A","I thank the honourable member for Lowe for his question. As usual, he is right on the ball. There is little wonder that international observers are putting Australia at the head of the table in terms of economic achievement. The situation for 1986 is quite clear. The rate of forecast economic growth for Australia virtually doubled the Organisation for Economic Co-operation and Development average. I know that those on the other side of this House take no pride in Australia's economic achievement because Australia's economic achievement spells further doom for them politically, as it should. That economic performance is made the more remarkable because it stands, in contrast to the rest of the world, at double the rate of employment growth. It is the only country in the Organisation for Economic Co-operation and Development which will be reducing unemployment in 1986; there will be increases in the other countries. Our economic performance is made the more remarkable and the more stark when people in this country and the rest of the world compare and contrast it with what happened under our predecessors, because under their stewardship and so-called economic management what we had was the bringing of this country to its knees and the worst recession for 50 years.","ECONOMY","QUESTIONS WITHOUT NOTICE","/html/body/hansard/chamber.xscript/qwn/question.block[4]/answer/talk.start/para","N/A","N/A","N/A"
