"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","stage_direction_flag","speaker_no","nonspeech","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time","Other"
"0","0","0","0","0","0","0","1","1","1","0","N/A","N/A","N/A","N/A","N/A","N/A","(Hon. Stephen Martin) took the chair at 10.00 a.m., and read prayers.","N/A","N/A","/html/body/hansard/chamber.xscript/business.start/proctext/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","2","0","N/A","N/A","N/A","N/A","N/A","N/A","Mr Mark Latham made and subscribed the affirmation of allegiance.","N/A","MEMBER SWORN","/html/body/hansard/chamber.xscript/debate[1]/proctext/para","N/A","N/A","N/A"
"0","0","0","1","0","0","0","1","0","3","0","Mr KEATING","NH4","(Blaxland-","ALP","Prime Minister)","593","—Mr Speaker, I would like to take this opportunity to congratulate Mark Latham on his election as the member for Werriwa. The seat of Werriwa has produced for the Labor Party some very great figures over the years—in recent history, of course, Gough Whitlam and John Kerin—and Mark Latham follows this very high tradition in this electorate for the Labor Party.  What is important about his election is the Labor Party's renewal. The Labor Party has continued to change and renew itself in office. This is always difficult for a major party to do because most parties refurbish themselves—change their membership, change their personnel—out of office. The Labor Party is doing it in office. The usefulness and energy of the government is being compounded by the change from experienced members who have served as ministers, many of them for a decade, and then gone back to private life, to people of similar calibre who, with experience, will serve the country, the government and the Labor Party well. I congratulate Mark Latham, his family and his supporters on a very strong and convincing victory.","N/A","MEMBER SWORN","/html/body/hansard/chamber.xscript/debate[1]/speech[1]/talk.start/para","N/A","N/A","N/A"
"0","0","0","1","0","0","0","1","0","4","0","Mr HOWARD","ZD4","(Bennelong-","LP","Manager of Opposition Business)","593","—Mr Speaker, on behalf of the opposition I congratulate the new honourable member for Werriwa (Mr Latham) and welcome him to the parliament. I assure him that he will be extended the same courtesies that are extended to other members of this place. Could I also just remark—very briefly of course, Mr Speaker, not wishing to abuse the indulgence that you have granted to me—that it is a strange kind of renewal that sees an 11 per cent fall in the primary vote of the Labor Party. It is a very strange type of renewal that sees a two-party preferred swing against the Labor Party of between six and seven per cent.  Whilst congratulating the duly elected honourable member for Werriwa, on behalf of the Liberal Party of Australia, I record my thanks to Mr Charlie Lynn, who carried the Liberal Party banner so effectively in such difficult circumstances against the honourable member for Werriwa. I look forward very much to the new honourable member's participation in the debate.","N/A","MEMBER SWORN","/html/body/hansard/chamber.xscript/debate[1]/speech[2]/talk.start/para","N/A","N/A","N/A"
"0","0","1","0","0","0","0","1","0","5","0","Mr Beazley","PE4","N/A","N/A","N/A","N/A","—We know that the honourable member for Bennelong is so pleased that the swing was only six to seven per cent.","N/A","MEMBER SWORN","/html/body/hansard/chamber.xscript/debate[1]/speech[2]/interject[1]/talk.start/para","N/A","N/A","N/A"
"0","0","1","0","0","0","0","1","0","6","0","Mr SPEAKER","10000","N/A","N/A","N/A","N/A","—I thank both the Prime Minister and the honourable member for Bennelong for setting the tone for today so well.","N/A","MEMBER SWORN","/html/body/hansard/chamber.xscript/debate[1]/speech[2]/interject[2]/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","7","0","N/A","N/A","N/A","N/A","N/A","N/A","Consideration resumed from 7 February.","N/A","CHEMICAL WEAPONS (PROHIBITION) BILL 1993","/html/body/hansard/chamber.xscript/debate[2]/debate.sub1[1]/proctext/para","N/A","N/A","N/A"
"0","0","0","1","0","0","0","1","0","8","0","Mr KERR","RH4","(Denison-","ALP","Minister for Justice)","593","—I move:","N/A","CHEMICAL WEAPONS (PROHIBITION) BILL 1993","/html/body/hansard/chamber.xscript/debate[2]/debate.sub1[1]/speech[1]/talk.start/para","N/A","N/A","N/A"
"0","0","0","1","0","1","0","1","0","9","0","N/A","N/A","N/A","N/A","N/A","N/A","That the bill be now read a second time.","N/A","CHEMICAL WEAPONS (PROHIBITION) BILL 1993","/html/body/hansard/chamber.xscript/debate[2]/debate.sub1[1]/speech[1]/para[1]","N/A","N/A","N/A"
"0","0","0","1","0","0","0","1","0","10","0","N/A","N/A","N/A","N/A","N/A","N/A","The bill will give effect to Australia's obligations as a party to the chemical weapons convention, CWC, and will provide a legislative basis for its national implementation. Australia signed the convention when it opened for signature on 13 January 1993 and will ratify the convention after the enactment of this legislation. The convention will enter into force 180 days after the 65th ratification, but not before 13 January 1995. Although only four of the 154 signatories have yet ratified the convention, many others are preparing for ratification and implementation.  Australia was instrumental in accelerating the final negotiations and bringing negotiations on the convention to a successful conclusion in 1992. That event marked a significant turning point in international efforts to curb the proliferation of weapons of mass destruction. For the first time the global community agreed to ban completely a whole category of weapons of mass destruction, require the destruction of all existing stocks of chemical weapons and their production facilities, and provide an effective mechanism to verify compliance with the convention. The convention is the most intrusive global instrument yet developed through the United Nations system, not only requiring state parties to make annual declarations on the production and use of certain chemicals but also to subject facilities which produce or use those chemicals above specified thresholds to routine inspections by the Organisation for the Prohibition of Chemical Weapons, the CWC's permanent body in the Hague. Any state party also has the right to request the organisation to conduct a challenge inspection of any place within the territory of another state party if it has reason to suspect that the other state party may not be acting in compliance with the convention. A state party has no right to refuse such an inspection. The intrusive nature of the convention's verification regime is essential for building confidence in the convention itself. It will provide a means by which allegations or suspicions of non-compliance on the part of a state party may be clarified. Where suspicions are not clarified, supplier countries have resorted to denying those engaged in suspicious activities with precursor chemicals and equipment and technology needed to develop a chemical weapons program, even though such goods may be for quite legitimate purposes. The entry into force of the convention and wide adherence to it will benefit international trade in chemicals and chemical technology. This has been a factor in the strong support given to the convention by Australian and international chemical industry organisations. As required by the convention, this bill, in clause 12, makes it an offence to develop, acquire, stockpile, retain, transfer or use chemical weapons. It will also be an offence for anyone in Australia or the external territories, or any Australian citizen overseas, to assist, encourage or induce any other person to engage in any activity prohibited to a state party under the convention. The chemicals which pose the greatest risk to the convention are contained in three schedules attached to the convention. Facilities which produce or use these chemicals above specified thresholds have to be declared to the organisation. The facility operators will also be required under this legislation to provide information for Australia's declarations to the organisation and will be subject to routine inspection by the organisation. Access to facilities for national or international compliance inspection purposes will be effected by consent of the operator or by a warrant issued by a magistrate. Trial inspections held in Australia and overseas have shown that such inspections cause minimal disruption to commercial operations. Both the convention and this legislation contain confidentiality provisions to protect the integrity of information gained during any activity related to the convention. The bill also covers the convention's provision for managed access by international inspectors to facilities where there is sensitive chemical technology or other information unrelated to chemical weapons. Managed access does not weaken the inspection process but is an added measure of protection for the confidentiality of commercial or national security interests. The bill provides for a permit system for declared facilities producing or using scheduled chemicals. The permit system will be the legal framework to facilitate the collection of information for Australia's annual declarations. The permits will be issued by the minister and may be renewed, transferred or revoked. Conditions relating to Australia's obligations under the convention will be attached to the permits. Ministerial decisions relating to permits will be subject to merits review by the Administrative Appeals Tribunal. The permit system will be administered by the Chemical Weapons Convention Office, which will be established as a non-statutory unit within an organisation in the minister's portfolio. The office will engage national inspectors, who will have inspection powers to verify that declared facilities are complying with the legislation. Other chemical production facilities, which produce un-scheduled discrete organic chemicals above specified thresholds, will be required to notify the chemical weapons convention office at the end of each year of their production levels of those chemicals, for inclusion in Australia's annual declarations. These facilities were included in the convention's verification regime because they are capable of being used in support of a chemical weapons production program. They will not, however, be subject to international inspection for at least three years after the convention's entry into force. Controls on the import and export of certain chemicals as required by the convention will be implemented by amendment of the Customs (Prohibited Imports) Regulations and the Customs (Prohibited Exports) Regulations. The proposed national controls contained in this bill to implement the convention, including its verification regime, are similar to those currently administered by the Australian Safeguards Office under the Nuclear Non-Proliferation (Safeguards) Act 1987. The convention underwent a 20-year period of gestation. In the changing world resulting from the end of the Cold War, it is important for the convention to enter into force as early as possible, and that as many states as possible be encouraged to ratify it before that time. With the introduction of this legislation into the parliament, Australia will be setting an example for other states, particularly those in our region, to follow. We are also continuing to assist regional states, under the chemical weapons regional initiative, with their implementation of the convention. I commend the bill to honourable members and present the explanatory memorandum.","N/A","CHEMICAL WEAPONS (PROHIBITION) BILL 1993","/html/body/hansard/chamber.xscript/debate[2]/debate.sub1[1]/speech[1]/para[2]","N/A","N/A","N/A"
