"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","non_speech_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time","Other"
"0","0","0","0","0","0","0","1","1","1","The SPEAKER (Hon. David Hawker)","N/A","N/A","N/A","N/A","N/A","took the chair at 9.00 am and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A","N/A"
"0","0","0","1","0","0","0","1","0","2","Rudd, Kevin, MP","83T","Griffith","ALP","Leader of the Opposition","1","I move:  That so much of the standing and sessional orders be suspended as would prevent the Prime Minister from immediately coming into the House and debating the Leader of the Opposition for a period of no less than one hour on Australia's involvement in the war in Iraq including: the Prime Minister’s false basis for Australia’s decision to go to war in Iraq; the Prime Minister’s misuse of intelligence material to justify his decision to send Australian service personnel into active duty in Iraq; the Prime Minister’s failure to articulate a clear cut mission statement for Australia’s continued participation in the war in Iraq; the Prime Minister’s failure to develop a clear cut exit strategy from the war based on that mission statement; the Prime Minister’s refusal to explain to the Parliament and the people of Australia his strategy for winning the Iraq war; the Prime Minister’s attack on the alternate administration of the United States of America and majority party in the United States Congress as Al Qaeda’s party of choice; and the Prime Minister’s lack of guts and courage in refusing to accept the Leader of the Opposition’s challenge to a nationally televised debate on Labor’s plan to bring our troops home and the Prime Minister’s plan to leave our troops in Iraq indefinitely. The Prime Minister said yesterday that parliament is the forum for debate. Come on down— ","N/A","IRAQ","/hansard/chamber.xscript/debate[1]/speech[1]/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","0","1","1","0","3","Mr BILLSON","N/A","N/A","N/A","N/A","N/A","That the member be no longer heard.  Question put. ","N/A","IRAQ","/hansard/chamber.xscript/debate[1]/motionnospeech[1]/motion/para","N/A","N/A","N/A"
"0","0","1","0","0","0","0","1","0","4","SPEAKER, The","10000","N/A","N/A","N/A","N/A","Is the motion seconded?  ","N/A","IRAQ","/hansard/chamber.xscript/debate[1]/interjection/talk.start/para","N/A","N/A","N/A"
"0","0","0","1","0","0","0","1","0","5","McClelland, Robert, MP","JK6","Barton","ALP","N/A","2","I second the motion. Guts and courage mean fronting—  ","N/A","IRAQ","/hansard/chamber.xscript/debate[1]/speech[2]/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","0","1","1","0","6","Mr BILLSON","N/A","N/A","N/A","N/A","N/A","That the member be no longer heard.  Question put. ","N/A","IRAQ","/hansard/chamber.xscript/debate[1]/motionnospeech[2]/motion/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","7","N/A","N/A","N/A","N/A","N/A","N/A","Original question put:","N/A","IRAQ","/hansard/chamber.xscript/debate[1]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","8","N/A","N/A","N/A","N/A","N/A","N/A","That the motion ( Mr Rudd’s ) be agreed to.","N/A","IRAQ","/hansard/chamber.xscript/debate[1]/motion/para","N/A","N/A","N/A"
"0","0","0","0","0","0","1","1","0","9","Mr BILLSON","N/A","N/A","N/A","N/A","N/A","That, for this sitting, so much of the standing and sessional orders be suspended as would prevent questions without notice being called on at 2.30 p.m.  ","Rearrangement","BUSINESS","/hansard/chamber.xscript/debate[2]/subdebate.1/motionnospeech/motion/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","9","Mr BILLSON","N/A","N/A","N/A","N/A","N/A","Question agreed to.","Rearrangement","BUSINESS","/hansard/chamber.xscript/debate[2]/subdebate.1/motionnospeech/para","N/A","N/A","N/A"
