"question_flag","answer_flag","interjection_flag","speech_flag","chamber_flag","stage_direction_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time","Other"
"0","0","0","0","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","Tuesday, 14 February 2023","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[1]","N/A","N/A","Tuesday, 14 February 2023 Chamber"
"0","0","0","0","1","1","2","N/A","N/A","N/A","N/A","N/A","N/A","The SPEAKER ( Hon. Milton Dick ) took the chair at 12:00, made an acknowledgement of country and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[2]","N/A","N/A","N/A"
"0","0","0","0","1","1","3","N/A","N/A","N/A","N/A","N/A","N/A","GOVERNOR-GENERAL'S SPEECH","N/A","GOVERNOR-GENERAL'S SPEECH","/hansard/chamber.xscript/debate[1]/debate.text/body/p","N/A","N/A","N/A"
"0","0","0","0","1","1","4","N/A","N/A","N/A","N/A","N/A","N/A","Address-in-Reply","Address-in-Reply","GOVERNOR-GENERAL'S SPEECH","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.text/body/p","N/A","N/A","N/A"
"0","0","0","0","1","1","5","N/A","N/A","N/A","N/A","N/A","N/A","Reference to Federation Chamber","Address-in-Reply","GOVERNOR-GENERAL'S SPEECH","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.2/subdebate.text/body/p","N/A","N/A","N/A"
"0","0","0","1","1","0","6","Mr BURKE","DYW","N/A","N/A","N/A","N/A","I declare that the following order of the day, government business, is referred to the Federation Chamber for debate: Address-in-Reply to the Governor-General's speech, resumption of debate.  ","Address-in-Reply","GOVERNOR-GENERAL'S SPEECH","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.2/speech/talk.text/body/p","Mr BURKE (Watson—Minister for Employment and Workplace Relations, Minister for the Arts and Leader of the House) ","(12:01):","N/A"
"0","0","0","0","1","1","7","N/A","N/A","N/A","N/A","N/A","N/A","BILLS","N/A","BILLS","/hansard/chamber.xscript/debate[2]/debate.text/body/p","N/A","N/A","N/A"
"0","0","0","0","1","1","8","N/A","N/A","N/A","N/A","N/A","N/A","Treasury Laws Amendment (Consumer Data Right) Bill 2022","Treasury Laws Amendment (Consumer Data Right) Bill 2022, Public Interest Disclosure Amendment (Review) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/subdebate.text/body/p","N/A","N/A","Treasury Laws Amendment (Consumer Data Right) Bill 2022 r6950"
"0","0","0","0","1","1","9","N/A","N/A","N/A","N/A","N/A","N/A","Public Interest Disclosure Amendment (Review) Bill 2022","Treasury Laws Amendment (Consumer Data Right) Bill 2022, Public Interest Disclosure Amendment (Review) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/subdebate.text/body/a/p","N/A","N/A","Bill r6958"
"0","0","0","0","1","1","10","N/A","N/A","N/A","N/A","N/A","N/A","Reference to Federation Chamber","Treasury Laws Amendment (Consumer Data Right) Bill 2022, Public Interest Disclosure Amendment (Review) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/subdebate.2/subdebate.text/body/p","N/A","N/A","N/A"
"0","0","0","1","1","0","11","Mr BURKE","DYW","N/A","N/A","N/A","N/A","I declare that, unless otherwise ordered, the Treasury Laws Amendment (Consumer Data Right) Bill 2022 and the Public Interest Disclosure Amendment (Review) Bill 2022 are referred to the Federation Chamber for further consideration at the adjournment of the debate on the motion for the second reading of each bill.  ","Treasury Laws Amendment (Consumer Data Right) Bill 2022, Public Interest Disclosure Amendment (Review) Bill 2022","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/subdebate.2/speech/talk.text/body/p","Mr BURKE (Watson—Minister for Employment and Workplace Relations, Minister for the Arts and Leader of the House) ","(12:01):","N/A"
