"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","non_speech_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time","Other"
"0","0","0","0","0","0","0","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","The President (Senator the Hon. I. Givens) took the chair' at 3 p.m., and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A","N/A"
"1","0","0","0","0","0","0","1","0","2","FINDLEY, Edward","JYX","N/A","N/A","N/A","266","Did the Government recently print and issue certain postal notes to further the interests of an institution in Tasmania?","ISSUE OF POSTAL NOTES","QUESTION","/hansard/chamber.xscript/debate[1]/subdebate.1/question/talk.start/para","N/A","N/A","N/A"
"0","1","0","0","0","0","0","1","0","3","CRAWFORD, Thomas","JRW","N/A","NAT","N/A","266","I can answer that question by saying that the Department did not take such action for the purpose suggested.","ISSUE OF POSTAL NOTES","QUESTION","/hansard/chamber.xscript/debate[1]/subdebate.1/answer/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","4","N/A","N/A","N/A","N/A","N/A","N/A","The following papers were presented :-","N/A","PAPERS","/hansard/chamber.xscript/debate[2]/para[1]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","5","N/A","N/A","N/A","N/A","N/A","N/A","International Labour Organization of the League of Nations-Fifth Conference, held at Geneva, 1923-Reports by Australian Delegates.","N/A","PAPERS","/hansard/chamber.xscript/debate[2]/para[2]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","6","N/A","N/A","N/A","N/A","N/A","N/A","War Service Homes Act-Report of the War Service Homes Commission for the year ended 30th June, 1823, together with Statements and Balance-sheets.","N/A","PAPERS","/hansard/chamber.xscript/debate[2]/para[3]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","7","N/A","N/A","N/A","N/A","N/A","N/A","League of Nations-Fourth Assembly, September, 1923-Bcport of Australian Delegation.","N/A","PAPERS","/hansard/chamber.xscript/debate[2]/para[4]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","8","N/A","N/A","N/A","N/A","N/A","N/A","Duties on Electrical Apparatus.","CUSTOMS TARIFF","QUESTIONS","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/para","N/A","N/A","N/A"
"1","0","0","0","0","0","0","1","0","9","DRAKE-BROCKMAN, Edmund","JXP","N/A","NAT","N/A","266","BKOCKMAN (for Senator Lynch) asked the Minister representing the Minister for Trade and Customs, upon notice-Is it correct, as publicly stated by the late Minister for Mines for Western Australia, Mr. Scaddan-That an application for remission of duty on certain electrical apparatus required in connexion with the Collie coal industry, Western Australia, was made and refused prior to the date of the announcement in the Government Gazette of 29th October, 1923, that such machinery could then be manufactured in Australia? That during the same period, viz., prior to the order mentioned, machinery of a similar character Intended for use in the Morwell power scheme, Victoria, was admitted free of duty? That on the 23rd February the Tariff Board had removed the duty on electric lifting magnets for one day only to allow of their free admission into Victoria? . That the Western Australian Government paid £25,000 in duty on a similar plant to that admitted free of duty for the M or well plant, Victoria?","CUSTOMS TARIFF","QUESTIONS","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/question/talk.start/para","N/A","N/A","N/A"
"0","1","0","0","0","0","0","1","0","10","CRAWFORD, Thomas","JRW","N/A","NAT","N/A","266","The answers are-The question, apparently, refers to an electric power plant to be installed by the Western Australian . Government Tramways and Electricity Supply before June, 1925. Application for free admission under Tariff item 174 was made on 27th September, 1923, and was refused on 13th November, 1923. The applicant stated that the amount of duty payable at the full rate of 27½ per cent. would be £20,000, approximately. Similar machinery for the Morwell power scheme was admitted' under item 174. The orders for this machinery were placed at various dates prior to 10th October, 1921. Admission under item 174 was restricted to the portion of the plant which clearly could not have been manufactured in Australia at the time the orders were placed. A substantial proportion of the contract was manufactured in the Commonwealth. An application for similar admission of additional plant ordered later for the Morwell scheme was refused. The decision in the Western Australian case was due to the fact that work which could not have been undertaken in Australia in 1021 could hare been successfully carried out at the end of 1023, when the Western Australian application was under consideration, owing to the development of Australian industry in the meantime. Free admission would then have been detrimental to the engineering industry, and, consequently, inconsistent with the Protective policy expressed in the Tariff. An electric lifting magnet was admitted into New South Wales under item 174 on 5th February, 1924. Before the by-law was approved it was clearly established that local manufacture was not' at the time practicable. In limiting admission to the one appliance, the object in view was to ascertain whether by using the appliance as a pattern, the. manufacture of future requirements could be undertaken in the Commonwealth. The restriction would not prejudice any other request for similar admission provided the necessary conditions existed. See reply to 1 and 2.","CUSTOMS TARIFF","QUESTIONS","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/answer/talk.start/para","N/A","N/A","N/A"
"1","0","0","0","0","0","0","1","0","11","FINDLEY, Edward","JYX","N/A","N/A","N/A","266","asked the Minister representing the Prime Minister, upon notice-Is the Government advertising in London for three steamers? If so, for what purposes are the steamers to be utilized?","NEW GUINEA STEAM-SHIP SERVICES","QUESTIONS","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/question/talk.start/para","N/A","N/A","N/A"
"0","1","0","0","0","0","0","1","0","12","PEARCE, George","K0F","N/A","NAT","N/A","266","The answers are-Offers for the sale to the Administration of New Guinea of three types of steamers were invited in London at the same time as offers were called for in Australia. The steamer or steamers purchased will be utilized in the New Guinea inter-island service.","NEW GUINEA STEAM-SHIP SERVICES","QUESTIONS","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/talk.start/para","N/A","N/A","N/A"
"0","1","0","0","0","0","0","1","0","13","FINDLEY, Edward","JYX","N/A","N/A","N/A","266","Are there not steamers belonging to the Commonwealth Government lying idle in Sydney Harbor to-day? If that be so, cannot some of them be used for the services mentioned by the Minister?","NEW GUINEA STEAM-SHIP SERVICES","QUESTIONS","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/continue[1]/talk.start/para","N/A","N/A","N/A"
"0","1","0","0","0","0","0","1","0","14","PEARCE, George","K0F","N/A","N/A","N/A","266","If there are any steamers belonging to the Commonwealth Government lying idle in Sydney Harbor, they are the property of the Commonwealth Government Shipping Line. I cannot say whether they are suitable for the inter-island trade, but if they are, the Shipping Line will undoubtedly offer them to the Government. I am. inclined to think that they are not suitable.","NEW GUINEA STEAM-SHIP SERVICES","QUESTIONS","/hansard/chamber.xscript/debate[3]/subdebate.1[2]/answer/continue[2]/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","15","N/A","N/A","N/A","N/A","N/A","N/A","Granting of Citizen Rights","INDIANS IN AUSTRALIA","QUESTIONS","/hansard/chamber.xscript/debate[3]/subdebate.1[3]/para","N/A","N/A","N/A"
"1","0","0","0","0","0","0","1","0","16","REID, Matthew","K2L","N/A","N/A","N/A","266","asked the Leader of the Government in the Senate, upon notice-","INDIANS IN AUSTRALIA","QUESTIONS","/hansard/chamber.xscript/debate[3]/subdebate.1[3]/question/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","0","1","0","1","0","16","REID, Matthew","K2L","N/A","N/A","N/A","N/A","Is it the intention of the Government to give legislative effect to the resolutions of the Imperial Conference by granting full citizen rights to Indians within the Commonwealth?","INDIANS IN AUSTRALIA","QUESTIONS","/hansard/chamber.xscript/debate[3]/subdebate.1[3]/question/quote/para","N/A","N/A","N/A"
