"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","non_speech_flag","speaker_no","nonspeech","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time","Other"
"0","0","0","0","0","0","0","1","1","1","0","N/A","N/A","N/A","N/A","N/A","N/A","The PRESIDENT (Senator the Hon. Michael Beahan) took the chair at 9.30 a.m., and read prayers.","N/A","N/A","/html/body/hansard/chamber.xscript/business.start/proctext/para[1]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","2","0","The Clerk","10001","N/A","N/A","N/A","N/A","Petitions have been lodged for presentation as follows:","N/A","N/A","/html/body/hansard/chamber.xscript/petition.grp/proctext/interject/talk.start/para","N/A","N/A","N/A"
"0","0","0","0","1","1","0","1","0","3","0","N/A","N/A","N/A","N/A","N/A","N/A","To the Honourable the President and Members of the Senate in the Parliament assembled. The Petition of the undersigned draws to the attention of the Senate Indonesia's continued denial of human rights to the people of East Timor. Your Petitioners ask the Senate to call on the Australian Government to: 1. actively support all United Nations resolutions and initiatives on East Timor; 2. actively support the right to self&hyphen;determination of the people of East Timor; 3. work for the immediate release of all Timorese political prisoners; 4. repeal the Timor Gap Treaty; and 5. stop all military cooperation and commercial military activity with Indonesia. To the Honourable the President and Members of the Senate in Parliament assembled. The Petition of the undersigned shows: That the current practice of destroying the Census is denying future generations an invaluable and irreplaceable resource of data on medical, historical, social, scientific, and demographic factors. Your Petitioners request that the Senate should: Request the Government to review its current policy of destroying the Census; and support a proposal to retain the census forms for release for specific research purposes in either 70 or 100 years time.","N/A","N/A","/html/body/hansard/chamber.xscript/petition.grp/petition[1]/para[1]","N/A","N/A","N/A"
"0","0","0","0","1","0","0","1","0","4","0","N/A","N/A","N/A","N/A","N/A","N/A","Petitions received.","N/A","N/A","/html/body/hansard/chamber.xscript/petition.grp/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","5","0","Senator BELL","7U4","N/A","N/A","N/A","N/A","I give notice that, on the next day of sitting, I shall move:","N/A","NOTICES OF MOTION","/html/body/hansard/chamber.xscript/debate[1]/debate.sub1[1]/speech/talk.start/para","N/A","N/A","N/A"
"0","0","0","1","0","1","0","1","0","6","0","N/A","N/A","N/A","N/A","N/A","N/A","That the Senate— notes, with approval, that the Tasmanian Parliament has acted promptly and properly to introduce stronger and more effective gun control laws; and calls on all State Governments to recognise this achievement and to seize the opportunity of the forthcoming police ministers' conference to agree on strong, effective and uniform gun laws throughout Australia.","N/A","NOTICES OF MOTION","/html/body/hansard/chamber.xscript/debate[1]/debate.sub1[1]/speech/break/para[1]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","7","0","Senator KEMP","WW4","N/A","N/A","Parliamentary Secretary to the Minister for Social Security)","N/A","On behalf of Senator Watson, I give notice that, on the next day of sitting, he will move:","N/A","NOTICES OF MOTION","/html/body/hansard/chamber.xscript/debate[1]/debate.sub1[2]/speech/talk.start/para","N/A","N/A","N/A"
"0","0","0","1","0","1","0","1","0","8","0","N/A","N/A","N/A","N/A","N/A","N/A"," The select committee known as the Select Committee on Superannuation, appointed by the resolution of the Senate of 5 June 1991 and reappointed on 13 May 1993, be reappointed, with the same functions and powers, except as otherwise provided in this resolution. The committee inquire into and report on the following matters referred to it in the previous Parliament: the role of superannuation funds in the governance of Australian corporations, as referred to the committee on 27 November 1995; the implications of the enormous growth in superannuation fund assets in Australia, as referred to the committee on 27 November 1995; the use of derivatives by superannuation funds in Australia, as referred to the committee on 27 November 1995; and the Investment Committee of the Reserve Bank's Officers' Superannuation Fund, as referred to the committee on 29 November 1995. The committee have power to consider and use for its purposes the minutes of evidence and records of the Select Committee on Superannuation appointed in the previous Parliament. The committee consist of 8 senators, 4 nominated by the Leader of the Government in the Senate, 3 nominated by the Leader of the Opposition in the Senate and 1 nominated by any minority groups or independent senators. The nomination of the minority groups or independent senators be determined by agreement between the minority groups and independent senators, and, in the absence of agreement duly notified to the President, the question of the representation on the committee of the minority groups or independent senators be determined by the Senate. The committee elect as its chair a member nominated by the Leader of the Government in the Senate. The committee report to the Senate on or before the last day of sitting in December 1996.","N/A","NOTICES OF MOTION","/html/body/hansard/chamber.xscript/debate[1]/debate.sub1[2]/speech/para[1]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","9","0","Senator MARGETTS","DX5","N/A","N/A","N/A","N/A","I give notice that, on the next day of sitting, I shall move:","N/A","NOTICES OF MOTION","/html/body/hansard/chamber.xscript/debate[1]/debate.sub1[3]/speech/talk.start/para","N/A","N/A","N/A"
"0","0","0","1","0","1","0","1","0","10","0","N/A","N/A","N/A","N/A","N/A","N/A","That the Senate— notes: the inadequacy of the 1969 `Act of Free Choice' as a genuine expression of self&hyphen;determination on the part of the people of West Papua, the allegations of torture, killing, intimidation and cultural suppression in West Papua, and the strong position of the Indonesian military and multinational mining companies such as Freeport McMoran and Rio Tinto Zinc; and calls on the Government to: investigate allegations of military abuses and human rights abuses in West Papua, urge the World Bank to withdraw insurance cover to Freeport McMoran and Rio Tinto Zinc in West Papua, and cease arms exports to the Indonesian military in West Papua.","N/A","NOTICES OF MOTION","/html/body/hansard/chamber.xscript/debate[1]/debate.sub1[3]/speech/para[1]","N/A","N/A","N/A"
