"question_flag","answer_flag","interjection_flag","speech_flag","chamber_flag","non_speech_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time","Other"
"0","0","0","0","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","Monday, 1 August 2022","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[1]","N/A","N/A","Monday, 1 August 2022 Chamber"
"0","0","0","0","1","1","2","N/A","N/A","N/A","N/A","N/A","N/A","The PRESIDENT (Senator the Hon. Sue Lines ) took the chair at 10:00, read prayers and made an acknowledgement of country.","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[2]","N/A","N/A","N/A"
"0","0","0","0","1","1","3","N/A","N/A","N/A","N/A","N/A","N/A","DOCUMENTS","N/A","DOCUMENTS","/hansard/chamber.xscript/debate[1]/debate.text/body/p","N/A","N/A","N/A"
"0","0","0","0","1","1","4","N/A","N/A","N/A","N/A","N/A","N/A","Tabling","Tabling","DOCUMENTS","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.text/body/p[1]","N/A","N/A","N/A"
"0","0","0","0","1","1","5","N/A","N/A","N/A","N/A","N/A","N/A","The Clerk: I table documents pursuant to statute as listed on the Dynamic Red.","Tabling","DOCUMENTS","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.text/body/p[2]","N/A","N/A","N/A"
"0","0","0","0","1","1","6","N/A","N/A","N/A","N/A","N/A","N/A","Full details of the documents are recorded in the Journals of the Senate.","Tabling","DOCUMENTS","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.text/body/p[3]","N/A","N/A","N/A"
"0","0","0","0","1","1","7","N/A","N/A","N/A","N/A","N/A","N/A","COMMITTEES","N/A","COMMITTEES","/hansard/chamber.xscript/debate[2]/debate.text/body/p","N/A","N/A","N/A"
"0","0","0","0","1","1","8","N/A","N/A","N/A","N/A","N/A","N/A","Membership","Membership","COMMITTEES","/hansard/chamber.xscript/debate[2]/subdebate.1/subdebate.text/body/p","N/A","N/A","N/A"
"0","0","0","1","1","0","9","Senator CICCONE","281503","N/A","N/A","N/A","N/A","A point of order on item No. 4 on the Order of Business, President: I want to seek your advice and some clarity on when we might expect advice from the opposition in terms of their committee membership. I make this point simply because committees are not able to meet or elect chairs or deputy chairs until we've received committee memberships from those opposite.","Membership","COMMITTEES","/hansard/chamber.xscript/debate[2]/subdebate.1/speech/talk.text/body/p[1]","Senator CICCONE (Victoria—Deputy Government Whip in the Senate) ","(10:01):","N/A"
"0","0","1","0","1","0","10","Th","112096","N/A","N/A","N/A","N/A","e PRESIDENT: ank you, Senator Ciccone; that isn't a point of order. I'm in the hands of the chamber as to when those committees are finalised.","Membership","COMMITTEES","/hansard/chamber.xscript/debate[2]/subdebate.1/speech/talk.text/body/p[2]","N/A","N/A","N/A"
"0","0","0","0","1","1","11","N/A","N/A","N/A","N/A","N/A","N/A","PARLIAMENTARY REPRESENTATION","N/A","PARLIAMENTARY REPRESENTATION","/hansard/chamber.xscript/debate[3]/debate.text/body/p","N/A","N/A","N/A"
"0","0","0","0","1","1","12","N/A","N/A","N/A","N/A","N/A","N/A","Victoria","Victoria","PARLIAMENTARY REPRESENTATION","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.text/body/p","N/A","N/A","N/A"
"0","0","0","1","1","0","13","The PRESIDENT","112096","N/A","N/A","N/A","N/A","As Senator Thorpe was absent from the Senate on 26 July 2022, I will now administer the affirmation of allegiance as required by section 42 of the Constitution. Senator Thorpe, please come to the table to make and subscribe the affirmation of allegiance.","Victoria","PARLIAMENTARY REPRESENTATION","/hansard/chamber.xscript/debate[3]/subdebate.1/speech/talk.text/body/p","The PRESIDENT ","(10:02):","N/A"
"0","0","0","0","1","1","14","N/A","N/A","N/A","N/A","N/A","N/A","Senators Sworn","Victoria","PARLIAMENTARY REPRESENTATION","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.2/subdebate.text/body/p[1]","N/A","N/A","N/A"
"0","0","0","0","1","1","15","N/A","N/A","N/A","N/A","N/A","N/A","The Clerk: Senator Thorpe, please recite the affirmation on the card handed to you.","Victoria","PARLIAMENTARY REPRESENTATION","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.2/subdebate.text/body/p[2]","N/A","N/A","N/A"
"0","0","0","1","1","0","16","Senator THORPE","280304","N/A","N/A","N/A","N/A","I, sovereign Lidia Thorpe, do solemnly and sincerely affirm and declare that I will be faithful and I bear true allegiance to the colonising Her Majesty Queen Elizabeth II, her heirs—","Victoria","PARLIAMENTARY REPRESENTATION","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.2/speech/talk.text/body/p[1]","Senator THORPE (Victoria—Deputy Leader of the Australian Greens in the Senate) ","(10:03):","N/A"
"0","0","1","0","1","0","17","Honourable senators","N/A","N/A","N/A","N/A","N/A","interjecting—","Victoria","PARLIAMENTARY REPRESENTATION","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.2/speech/talk.text/body/p[2]","N/A","N/A","N/A"
"0","0","1","0","1","0","18","The PRESIDENT","112096","N/A","N/A","N/A","N/A","I'm going to wait for quiet. Senator Thorpe, you are required to recite the oath as printed on the card. Please recite the oath.","Victoria","PARLIAMENTARY REPRESENTATION","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.2/speech/talk.text/body/p[3]","N/A","N/A","N/A"
"0","0","0","1","1","0","19","N/A","N/A","N/A","N/A","N/A","N/A","Senator Lidia Thorpe made and subscribed the affirmation of allegiance.","Victoria","PARLIAMENTARY REPRESENTATION","/hansard/chamber.xscript/debate[3]/subdebate.1/subdebate.2/speech/talk.text/body/p[4]","N/A","N/A","N/A"
"0","0","0","0","1","1","20","N/A","N/A","N/A","N/A","N/A","N/A","BILLS","N/A","BILLS","/hansard/chamber.xscript/debate[4]/debate.text/body/p","N/A","N/A","N/A"
"0","0","0","0","1","1","21","Bill","s1286","N/A","N/A","N/A","N/A","Environment Protection and Biodiversity Conservation Amendment (Regional Forest Agreements) Bill 2020","Environment Protection and Biodiversity Conservation Amendment (Regional Forest Agreements) Bill 2020","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.text/body/a/p","N/A","N/A","N/A"
"0","0","0","0","1","1","22","N/A","N/A","N/A","N/A","N/A","N/A","Second Reading","Environment Protection and Biodiversity Conservation Amendment (Regional Forest Agreements) Bill 2020","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/subdebate.text/body/p","N/A","N/A","N/A"
"0","0","0","1","1","0","23","Senator DUNIAM","263418","N/A","N/A","N/A","N/A","I move: That this bill be now read a second time. This is a very important debate. I'm sure many in the chamber would agree that, at a time like this, in the context that we are facing—as part of a global economy and as a nation that's struggling with a number of economic issues, amongst others—it's important that we provide certainty to all parts of our community and all parts of our economy. And we need to make sure that those that generate economic activity—the small and medium businesses out there and the hundreds of thousands of people that work in those businesses—have that certainty as well. Looking at the uncertainty we face at the moment, it is important to take stock of the context in which this private senator's bill is being debated. Just in doing that, I want to pay tribute to Senator Bridget McKenzie, who introduced the Environment Protection and Biodiversity Conservation Amendment (Regional Forest Agreements) Bill in the last parliament—at a time when things were slightly different, though not incredibly different—and to the work that she put in to drafting this bill and bringing it forward, again, in the 47th Parliament. Here, in Australia, we're facing a great many domestic economic pressures—matters for which there is no handbook to just pull off the shelf and provide a response for government in dealing with these issues—but there is one tried and true thing that a government can adopt, and that is the matter of certainty. Look at inflation, where that's predicted to go and the impact that that's going to have on the cost of living and on all other segments of the economy: power prices, even in my home state of Tasmania, where they're going up by 12 per cent, something that is going to hit small businesses and households alike; the cost of food and of fuel; and, of course, mortgage interest rates, going in the direction that they are. All of these things are generating incredibly uncertain times, and it's something for which we, as legislators, need to look at every tool we possibly can. The government needs to look at every tool it has at its disposal as a Commonwealth government, along with the state and territory governments, to provide certainty as one measure in responding to these times of uncertainty. As we emerge, and continue to emerge, from COVID, where the world was an unpredictable place, we have seen an incredible pattern of behaviours and an incredible pattern of different economic indicators. Who could have predicted, through COVID, that we would have seen the growth in the housing and construction sector that we did for that time, thanks to stimulating measures on the part of many state and territory governments and, indeed, the last federal government, with its HomeBuilder program? But there is one thing that Australian businesses and households are looking for, and that is, of course, certainty. That's the one thing they're asking for—it's the one they're calling for—and this bill provides a pathway for one such example. I think we can all acknowledge that forestry is an industry that, for time immemorial, has been kicked about by emotive arguments and often ones that lack scientific basis. That has resulted in a downscaling of the industry, in job losses and in a reduction of economic activity, particularly in regional communities. It also, of course, means that there's less of the resource available to our country—and I've already touched on the increased demand for the resource—particularly at a time when we need it. I might also point out that the resource, given the way we do forestry in this country, is a renewable resource. On top of that, given, by and large, the good track record that the forestry industry has—of course, with exception, and I think we all need to acknowledge that—and its good conservation outcomes, it's something we need to pay tribute to. This industry relies on the environment it operates in to continue to operate. They are good custodians of the forests and the land on which they work. They do it based on science. They do it based on world's best practice. On that claim, I also make another claim: we do it better than anywhere else in the world. I'm yet to hear examples of another jurisdiction that does forestry, both native and plantation, to the same standard that we do here in Australia. Be it the regulation that is imposed on this industry at a state or territory level or, indeed, the RFAs, they do lead to positive outcomes that are of benefit to our nation and the people who live and work here. There are economic benefits, which I've already talked about, and I think they're pretty obvious for anyone who's listening. Of course, there are the environmental benefits that I talked about before. There is reforestation, which is part of our forestry management regime. We don't just go out, clear-fell and leave the land denuded; we actually seek to reforest so that we have continuing and sustained availability of resource. Investments in innovation are central to ensuring that we have a strong and vibrant forestry future. Getting more products out of less resource is critically important to having less waste at the end of the production cycle. Of course, the science that goes into that innovation is centrally important. At the last election, both major parties committed over $100 million to science, innovation and research through the NIFPI, as it's called, and that will feed further into better outcomes. Of course, the forestry industry plays a huge part in the carbon outcome of this country, the capacity for our productive forests to sequester carbon and do a great deal of heavy lifting when it comes to our carbon abatement, the job that we have as a nation to fulfil our responsibilities. Indeed, the proud, hardworking men and women who work in this sector as well, who get besmirched every other day of the week by those who just seek to take this industry down—","Environment Protection and Biodiversity Conservation Amendment (Regional Forest Agreements) Bill 2020","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/speech[1]/talk.text/body/p[1]","Senator DUNIAM (Tasmania) ","(10:05):","N/A"
"0","0","1","0","1","0","24","Honourable senators","N/A","N/A","N/A","N/A","N/A","interjecting—","Environment Protection and Biodiversity Conservation Amendment (Regional Forest Agreements) Bill 2020","BILLS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/subdebate.2/speech[1]/talk.text/body/p[10]","N/A","N/A","N/A"
