index,question_flag,answer_flag,interjection_flag,speech_flag,petition_flag,quote_flag,motionnospeech_flag,chamber_flag,name,name.id,electorate,party,role,page.no,content,subdebateinfo,debateinfo,path,Speaker,Time
1,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Mr. Speaker took the chair at 10.30 a.m., and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A"
2,1,0,0,0,0,0,0,1,"MASSYGREENE, Walter","KNF","N/A","LP; NAT from 1917","N/A",2600,"Is the Assistant Minister of Defence in a position this morning to answer a question that I placed on the noticepaper for yesterday regarding the meaning of the word  disciplinary  as applied to troops returned from Egypt? ","MEANING OF DISCIPLINARY","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/question/talk.start/para","N/A","N/A"
3,0,1,0,0,0,0,0,1,"JENSEN, Jens","KK9","N/A","ALP","N/A",2600,"No. The Minister intends to make a full explanation, of which the honorable member will be informed, perhaps, on Wednesday next. ","MEANING OF DISCIPLINARY","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/answer/talk.start/para","N/A","N/A"
4,0,0,0,0,0,0,0,1,"SHARPE, James","KR8","N/A","N/A","N/A",2600,"Parcels Post Telephone Rates Mail Contractors Deputy PostmastersGeneral South Brisbane and Wynnum Post Offices Parramatta Automatic Telephone Accommodation fob Workmen Telephone Calls Recorder.","POSTMASTERGENERALS DEPARTMENT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/para","N/A","N/A"
5,1,0,0,0,0,0,0,1,"SHARPE, James","KR8","N/A","N/A","N/A",2600,"As there was a serious loss on the working of the Post Office during the year 19131914, is the PostmasterGeneral prepared to increase the rates for the carriage of. parcels, catalogues, newspapers, and other articles of that description, which are at present carried too cheaply? ","POSTMASTERGENERALS DEPARTMENT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[1]/talk.start/para","N/A","N/A"
6,0,1,0,0,0,0,0,1,"SPENCE, William","KUF","N/A","ALP","N/A",2600,"I do not think that it is necessary to raise these rates. The losses referred to were not in connexion with the parcels post. ","POSTMASTERGENERALS DEPARTMENT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/answer/talk.start/para","N/A","N/A"
7,1,0,0,0,0,0,0,1,"BURCHELL, Reginald","JTC","N/A","N/A","N/A",2600,"Some time ago it was announced in the press that the PostmasterGeneral had under consideration the increasing of the telephone rates. Ha» the matter yet been decided, and, if so, is it intended to increase those rates? ","POSTMASTERGENERALS DEPARTMENT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[2]/talk.start/para","N/A","N/A"
8,1,0,0,0,0,0,0,1,"SPENCE, William","KUF","N/A","N/A","N/A",2600,"The matter has not been finally decided. ","POSTMASTERGENERALS DEPARTMENT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[2]/continue/talk.start/para","N/A","N/A"
9,1,0,0,0,0,0,0,1,"POYNTON, Alexander","KYD","N/A","N/A","N/A",2600,"I understand that for some time past the PostmasterGenera! has had under consideration the advisability of doing something to assist the mail contractors, who are passing through a very trying time just now, owing to the drought. If the honorable gentlemans consideration has matured, I ask him to place before the House his proposals for affording relief. ","POSTMASTERGENERALS DEPARTMENT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[3]/talk.start/para","N/A","N/A"
10,1,0,0,0,0,0,0,1,"SPENCE, William","KUF","N/A","N/A","N/A",2600,"I have stated in reply to several questions that each case must be considered on its merits. We are trying to meet the mail contractors as far as possible along the lines indicated in a communication read to the House yesterday by the honorable member for Ballarat, but under the contract system we cannot make a universal rule. ","POSTMASTERGENERALS DEPARTMENT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[3]/continue/talk.start/para","N/A","N/A"
