index,question_flag,answer_flag,interjection_flag,speech_flag,petition_flag,quote_flag,motionnospeech_flag,chamber_flag,name,name.id,electorate,party,role,page.no,content,subdebateinfo,debateinfo,path,Speaker,Time,Speaker_1,Time_1
1,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Mr. Speakertook the chair at 2.30 p.m., and rend prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A","N/A","N/A"
2,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Resolved(on motion by SirWilliam","N/A","LEAVE OF ABSENCE","/hansard/chamber.xscript/debate[1]/para[1]","N/A","N/A","N/A","N/A"
3,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","McMillan) with concurrence -","N/A","LEAVE OF ABSENCE","/hansard/chamber.xscript/debate[1]/para[2]","N/A","N/A","N/A","N/A"
4,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","That leave of absence for one month be granted to the right honorable member for Tasmania, Sir Edward Braddon, on the ground of ill-health.","N/A","LEAVE OF ABSENCE","/hansard/chamber.xscript/debate[1]/para[3]","N/A","N/A","N/A","N/A"
5,1,0,0,0,0,0,0,1,"FISHER, Andrew","F4N","N/A","N/A","N/A",9583,"- In the absence of the Prime Minister, I wish to ask the Attorney-General, without notice, if he has any objection to saying whether the Commonwealth Government has any knowledge of any negotiations between the Government of the State of Queensland and the agent for Japan at Townsville, relating to the admission of Japanese labourers into Queensland. Has he any objection to stating whether there is any truth in the rumour that in recent years negotiations of the character referred to have taken place ? Having regard to the importance of the question to Australia, has he any objection to laying all the correspondence relating to the matter on the table of this House at a convenient date.","ADMISSION OF JAPANESE LABOURERS INTO QUEENSLAND","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/question/talk.start/para","N/A","N/A","N/A","N/A"
6,0,0,0,1,0,0,0,1,"DEAKIN, Alfred","009MD","N/A","Protectionist","N/A",9583,"- We have knowledge of negotiations between the Government of the State of Queensland and the Consul for Japan, at Townsville, relating to Japanese labourers ; that correspondence proceeded up to a comparatively late date last year; and has been published in a paper laid upon the table of the Queensland Parliament.There will be no objection, if it is moved for, to it being republished for the. benefit of members of this House.","ADMISSION OF JAPANESE LABOURERS INTO QUEENSLAND","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/answer/talk.start/para","N/A","N/A","N/A","N/A"
7,1,0,0,0,0,0,0,1,"POYNTON, Alexander","KYD","N/A","N/A","N/A",9584,"asked the Minister for Trade and Customs, upon notice -Does the Customs department prevent the importation of jewellery in use, that is, old jewellery, from State to State, unless on proof that the duty chargeable on the importation into the Commonwealth of jewellery not in use has been paid thereon ? 2.Ifso-Why does the Minister consider section 92 of the Commonwealth Constitution Act applicable to such goods?Does the department charge] the Commonwealth duty, although the State Act relating to Customs exempts such goods from duty?If such goods pass from State to State for the purposes of repairs, is the duty refunded on the goods being returned ; and, if not, why not ?Does the Minister insist that the burden of proof as to payment of duty under section 92 of the Commonwealth Constitution Act is on the person importing from State to State?","DUTY ON JEWELLERY","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/question/talk.start/para","N/A","N/A","N/A","N/A"
8,0,0,0,1,0,0,0,1,"KINGSTON, Charles","KEW","N/A","Protectionist","N/A",9584,"- The answers to the honorable and learned members questions are as follow : -Not when passengers personal effects, but only when imported for sale, repairs, or other trade purposes. 2. (a) Section 92 of the Constitution Act applies to all goods imported before the imposition of uniform duties.The State Act is not considered to affect the question.The Customs Act 1901 does not contemplate refunds in such cases.Yes.","DUTY ON JEWELLERY","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/answer/talk.start/para","N/A","N/A","N/A","N/A"
9,1,0,0,0,0,0,0,1,"MAHON, Hugh","KLB","N/A","N/A","N/A",9584,"asked the Minister representing the Postmaster-General, upon notice -Whether there is any objection to lay on the table of the House the papers in connexion with the transfer from Coolgardie to Eucla of James Strachan, telegraph operator","JAMES STRACHAN, TELEGRAPH OPERATOR","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/question/talk.start/para","N/A","N/A","N/A","N/A"
10,0,0,0,1,0,0,0,1,"FYSH, Philip","JZT","N/A","Free Trade","N/A",9584,"- The answer to the honorable members question is as follows : -There is no objection to lay on the table of the House the papers in connexion with the transfer from Coolgardie to Eucla of James Strachan, telegraph operator, if desired. As they refer to other departmental matters connected with the transfer referred to, the honorable member may perhaps consider it sufficient to see them at the Postmaster-Generals office.That the following exemption be added:-  Winnower forks (wood and steel).","JAMES STRACHAN, TELEGRAPH OPERATOR","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/answer/talk.start/para","N/A","N/A","N/A","N/A"
