index,question_flag,answer_flag,interjection_flag,speech_flag,petition_flag,quote_flag,motionnospeech_flag,chamber_flag,name,name.id,electorate,party,role,page.no,content,subdebateinfo,debateinfo,path,Speaker,Time
1,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A"
2,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Mr. WILSON presented a petition from certain residents of Teesdale and Broadmeadows, Victoria, praying that further legislation be enacted to prevent the importation of opium for smoking purposes into the Commonwealth.","N/A","PETITIONS","/hansard/chamber.xscript/debate[1]/para[1]","N/A","N/A"
3,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Petition received..","N/A","PETITIONS","/hansard/chamber.xscript/debate[1]/para[2]","N/A","N/A"
4,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Mr. WILKINSON presented a petition from certain coloured farmers in the Nambour district, in the Moreton electorate, praying that for every year unexpired in their leases they be paid ; £100 as compensation for losses which they will suffer by their deportation from the Commonwealth.","N/A","PETITIONS","/hansard/chamber.xscript/debate[1]/para[3]","N/A","N/A"
5,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Petition received and read.","N/A","PETITIONS","/hansard/chamber.xscript/debate[1]/para[4]","N/A","N/A"
6,0,0,0,1,0,0,0,1,"HIGGINS, Henry","KHC","N/A","N/A","N/A",26,"- I wish to ask the Prime Minister if he has any objection to treating the motion asking that the correspondence and documents relating to the arrangements and expenses of the Justices and officers of the High Court be laid on the table, of which I have given notice, as an unopposed motion. To do so will save trouble, and another motion.","HIGH COURT EXPENSES","QUESTION","/hansard/chamber.xscript/debate[2]/subdebate.1/question/talk.start/para","N/A","N/A"
7,0,0,0,1,0,0,0,1,"REID, George","F4P","N/A","Free Trade","N/A",27,"- I believe that the general rule has been for an honorable member who wishes the Government to treat a motion as unopposed to come to the Prime Minister and make the request to him.","HIGH COURT EXPENSES","QUESTION","/hansard/chamber.xscript/debate[2]/subdebate.1/answer/talk.start/para","N/A","N/A"
8,0,0,1,0,0,0,0,1,"HIGGINS, Henry","KHC","N/A","N/A","N/A",27,"- I have not had a chance to do that.","HIGH COURT EXPENSES","QUESTION","/hansard/chamber.xscript/debate[2]/subdebate.1/answer/interjection/talk.start/para","N/A","N/A"
9,0,0,0,1,0,0,0,1,"REID, George","F4P","N/A","N/A","N/A",27,"- I do not think that the motion to which the honorable member has referred is of such a character that it should be treated as formal.","HIGH COURT EXPENSES","QUESTION","/hansard/chamber.xscript/debate[2]/subdebate.1/answer/continue/talk.start/para","N/A","N/A"
10,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Mr. DUGALD THOMSON laid upon the table the following papers : -","N/A","PAPERS","/hansard/chamber.xscript/debate[3]/para[1]","N/A","N/A"
