index,question_flag,answer_flag,interjection_flag,speech_flag,petition_flag,quote_flag,motionnospeech_flag,chamber_flag,name,name.id,electorate,party,role,page.no,content,subdebateinfo,debateinfo,path,Speaker,Time
1,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Mr. Speaker (Hon. G. J. Bell) took the chair at 2.30 p.m., and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A"
2,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Invalid and Oldage Pensions.","N/A","PETITION","/hansard/chamber.xscript/debate[1]/para[1]","N/A","N/A"
3,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Mr. HOLLOWAY presented a petition signed by 1,600 members of the Oldage and Invalid Pensioners League of Victoria, praying for the restoration of the amounts deducted from invalid and oldage pensions under the financial emergency legislation.","N/A","PETITION","/hansard/chamber.xscript/debate[1]/para[2]","N/A","N/A"
4,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Petition received and read.","N/A","PETITION","/hansard/chamber.xscript/debate[1]/para[3]","N/A","N/A"
5,1,0,0,0,0,0,0,1,"JENNINGS, John","KK7","N/A","N/A","N/A",290,"In view of the interest aroused in New South Wales in connexion with the jubilee appeal for the establishment of a fund to be devoted to maternal and infant welfare, and the numerous inquiries regarding the allocation of the money, will the Minister for Health state whether any sum has been allocated by the Commonwealth to New South Wales, and what action has been taken by that State in the direction of implementing the proposal for which the fund was raised ? ","MATERNAL AND INFANT WELFARE","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1/question/talk.start/para","N/A","N/A"
6,0,1,0,0,0,0,0,1,"HUGHES, William Morris","DQC","N/A","UAP","N/A",290,"This matter was raised last week by the honorable member for Werriwa. ","MATERNAL AND INFANT WELFARE","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1/answer/talk.start/para","N/A","N/A"
7,0,0,1,0,0,0,0,1,"LAZZARINI, Hubert","L07","N/A","N/A","N/A",290,"In a different way. ","MATERNAL AND INFANT WELFARE","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1/answer/interjection/talk.start/para","N/A","N/A"
8,0,0,0,1,0,0,0,1,"HUGHES, William Morris","DQC","N/A","N/A","N/A",290,"I was not. then in a position to furnish the information sought, but I have since obtained some particulars which I shall now give to the House. The Commonwealth grant of £50,000 was allocated among the States as follows : New South Wales, £14,000 ; Victoria, £10,000; Queensland, £8,000; South Australia £6,000; Western Australia £6,500; Tasmania, £5,500.It will be recalled that this fund was launched for the purpose of establishing a memorial to commemmorate the jubilee of His late Majesty, as was done in the reign of the late Queen Victoria, the object being to grapple with the problem of maternal mortality and infant welfare. Certain recommendations were made by the (Health Council. I am not able to inform honorable members, except in a very general way, of the precise purposes to which the States have applied or propose to apply their quota of the Commonwealth grant, together with the funds subscribed locally by the States and private individuals. Advice has been received from the various States as follows: New South Wales No action has been taken towards the appointment of a committee or the allocation of the funds. Victoria A committee has been appointed, but the allocation has not yet been decided. Queensland No committee will be appointed, but the money available will be funded, to be used in perpetuity for the purpose of a professorship or lectureship in obstetrics. South Australia A committee was appointed, and the money allocated in accordance with the principles laid down by the Federal Health Council. Western Australia A committee has been appointed, but no decision has been reached as to the allocation of the available funds. Tasmania A committee was appointed, and a decision has been reached as to the allocation of the money available, which is in accordance with the principles laid down by the Federal Health Council. I only wish to observe, on my own account, that, in my opinion, antenatal clinics efficiently equipped and widely distributed over the Commonwealth must he the keystone of any effective scheme for reducing maternal and infant mortality. These antenatal clinics must be open to all preg nant women, and must, whenever necessary, provide not only medical aid and advice, but also a suitable dietary and accommodation. ","MATERNAL AND INFANT WELFARE","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1/answer/continue/talk.start/para","N/A","N/A"
9,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Order of Day Discharged","N/A","EMBARGO ON SULPHUR IMPORTATIONS","/hansard/chamber.xscript/debate[3]/para[1]","N/A","N/A"
10,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Order of the day, general business Disallowance of statutory rule. Resumption of debate from the 21st November, 1935(vide page 1873, volume 147), on motion by Mr. Gregory That Statutory RuleNo. 19 of 1935, amending the Customs (Prohibited Imports) Regulations be disallowed by leave discharged.","N/A","EMBARGO ON SULPHUR IMPORTATIONS","/hansard/chamber.xscript/debate[3]/para[2]","N/A","N/A"
11,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","The following papers were presented :","N/A","PAPERS","/hansard/chamber.xscript/debate[4]/para","N/A","N/A"
12,0,0,0,0,0,1,0,1,"HUGHES, William Morris","DQC","N/A","N/A","N/A","N/A","Defence Act Regulations amended StatutoryRules 1930, No. 28.  Public Service Act Appointments ofP. R. Heydon, T. Matthew, and A. T. Stirling, Department of External Affairs. Twelfth Report on the Commonwealth Public Service by the Board of Commissioners, dated 11th December, l935.","N/A","PAPERS","/hansard/chamber.xscript/debate[4]/quote/para[1]","N/A","N/A"
13,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Lot Splitting","WOOL SALES","QUESTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1[1]/para","N/A","N/A"
14,1,0,0,0,0,0,0,1,"LAZZARINI, Hubert","L07","N/A","N/A","N/A",291,"Is the Acting Minister for Commerce aware that, at the Graziers Conference held in Sydney yesterday, it was resolved that a move should be made to endeavour to have legislation passed to prevent lotsplitting at wool sales? In view of that definitely expressed opinion, will the honorable member explore the position so as to see what federal action may be taken to prevent this practice? ","WOOL SALES","QUESTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1[1]/question/talk.start/para","N/A","N/A"
15,0,1,0,0,0,0,0,1,"THORBY, Harold","KWC","N/A","CP","N/A",291,"My attention has already been directed to the various resolutions passed by, and the discussions thereon, at the Graziers Conference in Sydney. I am in constant touch with the representatives of the organizations concerned, and the Government is giving every consideration to any worthwhile resolution. ","WOOL SALES","QUESTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1[1]/answer/talk.start/para","N/A","N/A"
16,1,0,0,0,0,0,0,1,"FAIRBAIRN, James","KEM","N/A","N/A","N/A",291,"Will the Minister for Defence state whether this mornings press report is correct, to the effect that a civil aviation board of four members is to be set up to take charge of the civil aviation branch of his department? If it is, does he not think that, in the furtherance of civil aviation, the money might be better spent in the direction of increasing the facilities for commercial aviation rather than on the overhead of the department and the production of red tape? ","CIVIL AVIATION","QUESTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1[2]/question/talk.start/para","N/A","N/A"
17,0,1,0,0,0,0,0,1,"PARKHILL, Robert","KXQ","N/A","NAT; UAP from 1931","N/A",291,"It is proposed to set up a board in connexion with civil aviation, on lines similar to those of the military board, the naval board, and the air force board, all of which have functioned with very great value to the Commonwealth. I am convinced, and so is everybody to whom I have referred the matter, that the constitution of this board will increase the efficiency of the civil aviation branch in every respect, not only in respect of its administration, but also in respect of the service it can render to the general public. The honorable member is entirely wrong when he suggests that the board will increase expenditure to any extent. It will be constituted of officers, whose salaries in future will be very little higher than those they at present receive. There has never been any red tape in the civil aviation branch since I have been in charge of the department, consequently there can be no increase of it. I assure the honorable member and the House, that the arrangement will be of very great benefit to civil aviation generally, and that there will be comparatively little increase of cost. ","CIVIL AVIATION","QUESTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1[2]/answer/talk.start/para","N/A","N/A"
18,1,0,0,0,0,0,0,1,"BAKER, Francis Matthew","JNP","N/A","N/A","N/A",291,"Has the Treasurer read the statement of the Country Party Premier of Victoria, Mr. Dunstan, which appears in todays press, commenting upon the failure of the treasurybill issue, to the effect that that failure supplied further evidence of the need for greater cooperation between the Commonwealth Bank and the Loan Council, and. expressing the hope that in future the Loan Council would be consulted in regard to such bills? If the honorable member has read the statement, has he any comment to make regarding it? ","ISSUE OF TREASURYBILLS","QUESTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1[3]/question/talk.start/para","N/A","N/A"
19,0,1,0,0,0,0,0,1,"CASEY, Richard","JWE","N/A","UAP","N/A",291,"I regret that I have not yet had an opportunity to read the statement. ","ISSUE OF TREASURYBILLS","QUESTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1[3]/answer/talk.start/para","N/A","N/A"
20,1,0,0,0,0,0,0,1,"NAIRN, Walter","JVR","N/A","N/A","N/A",292,"Last year a grant of £5,000 was made for the relief of pearlers in northwestern Australia who had suffered from the effects of a cyclone. The Tariff Board was subsequently asked to inquire as to whether a further grant should be made. Will the Minister for Trade and Customs state whether the report of the board has yet been received, and if it has, whether a decision has been arrived at with respect to an application by the Government of Western Australia for a further grant of £10,000 to rehabilitate the pearling industry ? ","PEARLING INDUSTRY","QUESTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1[4]/question/talk.start/para","N/A","N/A"
21,0,1,0,0,0,0,0,1,"WHITE, Thomas","KZR","N/A","UAP","N/A",292,"This matter concerns partly the Customs Department and partly the Treasury. The Tariff Board inquired into it and presented a report, which has not yet been considered by the Government. A grant of £5,000 was made last year, £2,500 of which went to Western Australia for the relief of those who had suffered from the results of a cyclone. All that T can add is that representations for a further grant have been made to the Government. ","PEARLING INDUSTRY","QUESTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1[4]/answer/talk.start/para","N/A","N/A"
22,1,0,0,0,0,0,0,1,"NOCK, Horace","K4X","N/A","N/A","N/A",292,"Can the Prime Minister state whether the Labour Government of Western Australia has briefed counsel, or has arranged to support James in his appeal to the Privy Council against the decision of the High Court of Australia, which, if successful, will wreck all the Commonwealths marketing schemes and prevent the establishment of the scheme for a homeconsumption price for wheat? ","MARKETING LEGISLATION","QUESTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1[5]/question/talk.start/para","N/A","N/A"
23,0,1,0,0,0,0,0,1,"LYONS, Joseph Aloysius","F4O","N/A","UAP","N/A",292,"I am unable to reply offhand to the honorable members question, but I shall obtain the information for him. ","MARKETING LEGISLATION","QUESTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1[5]/answer/talk.start/para","N/A","N/A"
