"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","chamber_flag","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The House met at 3 p.m., pursuant to the Proclamation of His Excellency the Governor-General.","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para[1]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The Clerk read the Proclamation.","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para[2]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Mr. Speaker (Hon. G. J. Bell) took the chair, and read prayers.","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para[3]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The Usher of the Blackrod, being announced, was admitted, and delivered the message that His Excellency the Governor-General desired the attendance of honorable members in the Senate chamber.","N/A","OPENING OF THE SESSION","/hansard/chamber.xscript/debate[2]/para[1]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Honorable members attended accordingly, andhaving returned,","N/A","OPENING OF THE SESSION","/hansard/chamber.xscript/debate[2]/para[2]","N/A","N/A"
"0","0","0","1","0","0","1","MENZIES, Robert","N76","Kooyong","UAP","Prime Minister","29",". - I desire to inform the House of the following changes which took place in the Ministry after the adjournment of Parliament in December last, and prior to the recent reconstruction.On the 26th January, the Right Honorable R. G. Casey, Minister for Supply and Development, resigned from the Ministry. The Honorable Sir Frederick Stewart was appointed Minister for Supply and Development, viceMr. Casey.On the 23rd February, the Honorable J. N. Lawson, Minister for Trade and Customs, resigned his appointment, and I was appointed to that portf olio.","N/A","MINISTERIAL CHANGES","/hansard/chamber.xscript/debate[4]/speech/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","1","MENZIES, Robert","N76","Kooyong","UAP","Prime Minister","30",". - I desire formally to announce to the House that, on the 14th March, 1940, the Ministry was reconstructed, and is now constituted as follows : -The Right Honorable Robert Gordon Menzies, K.C., M.P. - Prime Minister, Minister for Defence Co-ordination and Minister for Information.The Honorable Archie Galbraith Cameron, M.P. - Minister for Commerce and Minister for the Navy.","N/A","SECOND MENZIES MINISTRY","/hansard/chamber.xscript/debate[5]/speech/talk.start/para","N/A","N/A"
"0","0","1","0","0","0","1","MCBRIDE, Philip","KOL","N/A","UAP","N/A","30","30 KOL UAP 0 0 MCBRIDE, Philip Senator McBRIDE - Minister assisting the Minister for Commerce.","The Honorable James Valentine Fairbairn, M.P. - Minister for Air and Minister for Civil Aviation","SECOND MENZIES MINISTRY","/hansard/chamber.xscript/debate[5]/subdebate.1[4]/interjection/talk.start","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Motion (by Mr. Menzies) agreed to -","N/A","SEAT OF GOVERNMENT (ADMINISTRATION) BILL 1940","/hansard/chamber.xscript/debate[6]/para[1]","N/A","N/A"
"0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","Thathe have leave to bring in abillfor an act to amend the Seat of Government (Administration) Act 1910-1939.","N/A","SEAT OF GOVERNMENT (ADMINISTRATION) BILL 1940","/hansard/chamber.xscript/debate[6]/quote/para","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Bill brought up, and read a first time.","N/A","SEAT OF GOVERNMENT (ADMINISTRATION) BILL 1940","/hansard/chamber.xscript/debate[6]/para[2]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Sitting suspended from 3.38 to5 p.m.","N/A","SEAT OF GOVERNMENT (ADMINISTRATION) BILL 1940","/hansard/chamber.xscript/debate[6]/para[3]","N/A","N/A"
