index,question_flag,answer_flag,interjection_flag,speech_flag,chamber_flag,name,name.id,electorate,party,role,page.no,content,subdebateinfo,debateinfo,path,Speaker,Time
1,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",680,"680 RK4 0 0 HAYDEN, Bill Mr Hayden - They are in statement No. 6.","COMMONWEALTH GOVERNMENTS INDEBTEDNESS","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[1]/answer/interjection[1]/talk.start","N/A","N/A"
2,0,0,1,0,1,"HURFORD, Chris","AV4","N/A","N/A","N/A",680,"680 AV4 0 0 HURFORD, Chris Mr Hurford - Mr Speaker, I raise a point of order. Under Standing Orders is it not necessary for answers to be relevant? This answer is not relevant. The question was about public debt. The Treasurer is talking about a deficit. Would you please ask him to be relevant?","COMMONWEALTH GOVERNMENTS INDEBTEDNESS","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[1]/answer/interjection[2]/talk.start","N/A","N/A"
3,0,0,1,0,1,"YOUNG, Mick","EV4","N/A","N/A","N/A",682,"682 EV4 0 0 YOUNG, Mick Mr Young - It will be after the next election.","TAXATION: SUBSIDISED HOUSING","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[5]/answer/interjection[1]/talk.start","N/A","N/A"
4,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",682,"682 RK4 0 0 HAYDEN, Bill Mr Hayden - You havent said who owns the Nareen property yet.","TAXATION: SUBSIDISED HOUSING","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[5]/answer/interjection[2]/talk.start","N/A","N/A"
5,0,0,1,0,1,"KEATING, Paul","NH4","N/A","N/A","N/A",682,"682 NH4 0 0 KEATING, Paul Mr Keating - Mr Speaker, I take a point of order. I do not wish to delay the Prime Minister unduly but the purpose of the question was to establish the basis of ownership of the residence Nareen - whether J. M. Fraser owns it or a property company owns it and whether the Prime Minister pays a rental to that company or an adequate commercial rent - to establish the basis of the tax avoidance on the Lodge.","TAXATION: SUBSIDISED HOUSING","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[5]/answer/interjection[3]/talk.start","N/A","N/A"
6,0,0,1,0,1,"KEATING, Paul","NH4","N/A","N/A","N/A",683,"683 NH4 0 0 KEATING, Paul Mr Keating - A point of order!","TAXATION: SUBSIDISED HOUSING","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[5]/answer/interjection[4]/talk.start","N/A","N/A"
7,0,0,1,0,1,"KEATING, Paul","NH4","N/A","N/A","N/A",683,"683 NH4 0 0 KEATING, Paul Mr Keating - Mr Speaker, in terms of relevance, all I want to know is whether the Prime Minister owns his own house?","TAXATION: SUBSIDISED HOUSING","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[5]/answer/interjection[5]/talk.start","N/A","N/A"
8,0,0,1,0,1,"INNES, Urquhart","KJA","N/A","N/A","N/A",687,"687 KJA 0 0 INNES, Urquhart Mr Innes - It is a phoney election gimmick and you know it. Why did you haul the tower down in the first place?","CHANGEOVER OF MELBOURNES ATV-0 TO CHANNEL 10","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[13]/answer/interjection[1]/talk.start","N/A","N/A"
9,0,0,1,0,1,"INNES, Urquhart","KJA","N/A","N/A","N/A",687,"687 KJA 0 0 INNES, Urquhart Mr Innes - Tell us why you pulled the tower down?","CHANGEOVER OF MELBOURNES ATV-0 TO CHANNEL 10","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[13]/answer/interjection[2]/talk.start","N/A","N/A"
10,0,0,1,0,1,"KERIN, John","QH4","N/A","N/A","N/A",687,"687 QH4 0 0 KERIN, John Mr Kerin - You get two out of ten for that one.","NEW SOUTH WALES ROYAL COMMISSION OF INQUIRY INTO DRUG TRAFFICKING","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[14]/answer/interjection/talk.start","N/A","N/A"
11,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",688,"688 RK4 0 0 HAYDEN, Bill Mr Hayden - Mr Speaker, I take a point of order. The Treasurer is going beyond an answer to a question without notice. He sought to brief himself and he now wants to canvass the issue. I suggest the proper way to handle this would be for the Treasurer to make a statement and to allow debate to ensue because it is an important point. The Opposition would be keen to debate the issue with him.","COMMONWEALTH GOVERNMENTS INDEBTEDNESS","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[15]/answer/interjection[1]/talk.start","N/A","N/A"
12,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",688,"688 RK4 0 0 HAYDEN, Bill Mr Hayden - Mr Speaker, because I can anticipate the quality of the fact, may I have your indulgence to put certain other facts to the House in response to what he might care to put forward? I presume that it is in relation to the question that the honourable member for Parramatta directed to the Treasurer.","COMMONWEALTH GOVERNMENTS INDEBTEDNESS","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[15]/answer/interjection[2]/talk.start","N/A","N/A"
13,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",688,"688 RK4 0 0 HAYDEN, Bill Mr Hayden - Mr Speaker, with your indulgence I would like to put the record straight.","COMMONWEALTH GOVERNMENTS INDEBTEDNESS","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[15]/answer/interjection[3]/talk.start","N/A","N/A"
14,0,0,1,0,1,"HAYDEN, Bill","RK4","N/A","N/A","N/A",688,"688 RK4 0 0 HAYDEN, Bill Mr Hayden - With respect, Mr Speaker, that is not an accurate reflection of the facts. You said that you would listen to facts. I have them here. They are considerably different from the interpretation that the Treasurer has given.","COMMONWEALTH GOVERNMENTS INDEBTEDNESS","QUESTIONS WITHOUT NOTICE","/hansard/chamber.xscript/debate[8]/subdebate.1[15]/answer/interjection[4]/talk.start","N/A","N/A"
