"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","nonspeech","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","0","1","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/html/body/hansard/chamber.xscript/business.start/proctext/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","0","N/A","N/A","N/A","N/A","N/A","N/A"," (Rt Hon. Sir Billy Snedden) took the chair at 2.15 p.m., and read prayers.","N/A","N/A","/html/body/hansard/chamber.xscript/business.start/proctext/para[2]","N/A","N/A"
"0","0","0","0","0","0","0","1","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","ELECTORAL","/html/body/hansard/chamber.xscript/debate[1]/proctext/para","N/A","N/A"
"0","0","1","0","0","0","0","1","0","Mr SPEAKER","10000","N/A","N/A","N/A","N/A","—I have received returns to the writs which I issued on 27 January 1981 for the election of members to serve for the electoral divisions of Curtin in the State of Western Australia and McPherson in the State of Queensland to fill the vacancies caused by the resignation of the Honourable Ransley Victor Garland and the death of the Honourable Eric Laidlaw Robinson respectively. By the endorsement on the writs it is certified that Allan Charles Rocher and Peter Nicholson Duckett White have been elected.","N/A","ELECTORAL","/html/body/hansard/chamber.xscript/debate[1]/proctext/interject/talk.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NEW MEMBERS SWORN","/html/body/hansard/chamber.xscript/debate[2]/proctext/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","0","N/A","N/A","N/A","N/A","N/A","N/A","Mr Allan Charles Rocher and Mr Peter Nicholson Duckett White made and subscribed the oath of allegience as members for the divisions of Curtin, Western Australia, and McPherson, Queensland, respectively.","N/A","NEW MEMBERS SWORN","/html/body/hansard/chamber.xscript/debate[2]/proctext/para[2]","N/A","N/A"
"0","0","0","1","0","0","0","1","0","Mr MALCOLM FRASER","QS4","(Wannon","LP","Prime Minister)","403","—I move:","N/A","DEATH OF SENATOR JOHN WILLIAM KNIGHT","/html/body/hansard/chamber.xscript/debate[3]/speech[1]/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","0","1","0","N/A","N/A","N/A","N/A","N/A","N/A","That the House expresses its deep regret at the death this day of Senator John William Knight, a senator for the Australian Capital Territory from 1975 and Government Whip in the Senate from 1980, places on record its appreciation of his long and meritorious public service and tenders its profound sympathy to his widow and the members of his family in their bereavement.","N/A","DEATH OF SENATOR JOHN WILLIAM KNIGHT","/html/body/hansard/chamber.xscript/debate[3]/speech[1]/para[1]","N/A","N/A"
"0","0","0","1","0","0","0","1","0","N/A","N/A","N/A","N/A","N/A","N/A","John Knight was born in 1943 at Armidale in New South Wales. He was an honours graduate from the University of New England. He was awarded a Fulbright scholarship in 1968 and took a masters degree at the East West Center in Hawaii. In 1975 he was a visiting fellow at the Australian National University. He joined the Department of Foreign Affairs in 1965 and served in India, Fiji and Saudi Arabia. Mr Speaker, he was your senior private secretary from 1973 to 1974. He was elected to this Parliament in 1975 as Liberal senator for the Australian Capital Territory and was subsequently reelected in 1977 and 1980.","N/A","DEATH OF SENATOR JOHN WILLIAM KNIGHT","/html/body/hansard/chamber.xscript/debate[3]/speech[1]/para[2]","N/A","N/A"
"0","0","0","1","0","0","0","1","0","N/A","N/A","N/A","N/A","N/A","N/A","John Knight was a member of this Parliament for only a short time but he had already made his mark. He was active on a wide variety of committees. He represented the Parliament and the Government on a number of overseas delegations. He had been Deputy Government Whip in the Senate from 1978 and was elected Government Whip less than four months ago. John Knight lived an active and vigorous life. He was a dedicated representative of the Capital Territory. He was concerned with the design of Canberra and with all aspects of its welfare. He was patron of the Australian Capital Territory Rugby Union, of the Australian Capital Territory Amateur Swimming Association and of the Australian Capital Territory Lifesaving Association. He had a particular concern for, and involvement with, the International Year of Disabled Persons. He had just finished the final manuscript of a book on the role of the back bench in foreign policy.","N/A","DEATH OF SENATOR JOHN WILLIAM KNIGHT","/html/body/hansard/chamber.xscript/debate[3]/speech[1]/para[3]","N/A","N/A"
